irlat,irlon,RL50 (kPa),rlat,rlon,lat,lon,elev (m),station_name,province,model_values,ratio
558,1009,0.402,-4.286848910227873,10.373390404111557,42.2756,-82.9556,190.0,WINDSOR A,ON,0.28239578008651733,1.1925991665349462
559,1009,0.484,-4.227125340313413,10.379271031382924,42.3333,-82.9333,188.0,WINDSOR RIVERSIDE,ON,0.2818117141723633,1.4388415515203041
576,1017,0.389,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,181.0,SARNIA AIRPORT,ON,0.2861720323562622,1.138804211486169
577,1048,0.47,-3.434479081735439,12.106219211616422,42.774390000000004,-80.42905999999999,214.0,HAGERSVILLE 2 composite,ON,0.3209838569164276,1.2267083396953504
579,1046,0.5870000000000001,-3.3628448895127754,11.999925006386508,42.8667,-80.55,232.0,DELHI CDA,ON,0.3170866072177887,1.5509109175805724
579,1050,0.446,-3.335374154899144,12.206799132067156,42.85,-80.2667,240.0,SIMCOE,ON,0.32120877504348755,1.1632528054253057
580,1035,0.45799999999999996,-3.290371679059054,11.534368202439223,43.0331,-81.1511,278.0,LONDON INT'L AIRPORT,ON,0.31892600655555725,1.2031012948294038
580,1037,0.491,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,271.0,DORCHESTER,ON,0.3190070688724518,1.2894598870331848
580,1051,0.34,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,222.0,WATERFORD,ON,0.324885755777359,0.8767482293350275
587,1054,0.423,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,238.0,HAMILTON A,ON,0.32224228978157043,1.0997259764026546
590,1054,0.397,-2.851997203751697,12.387474338992014,43.2833,-79.8833,102.0,HAMILTON RBG,ON,0.32220011949539185,1.0322656139127342
591,1066,0.309,-2.817509219258394,12.915619247015943,43.2,-79.1667,98.0,ST CATHARINES A,ON,0.3093484044075012,0.8368300175483206
592,1046,0.467,-2.767016061611644,11.996249233882299,43.45,-80.3833,317.0,WATERLOO WELLINGTON A,ON,0.32871386408805847,1.1902152487120305
594,1044,0.41700000000000004,-2.666314502571736,11.94129167027309,43.56001071,-80.42801786,348.0,GUELPH OAC composite,ON,0.3292560279369354,1.0610331953059304
598,1059,0.406,-2.4868552600065392,12.60189887608841,43.59246944,-79.48505417,172.0,TORONTO NEW INT'L A composite,ON,0.32141339778900146,1.0582510516125267
599,1061,0.396,-2.4371144169958994,12.657472533066505,43.6286,-79.395,76.0,TORONTO ISLAND A,ON,0.321235328912735,1.032757921472861
600,1057,0.373,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,173.0,TORONTO LESTER B. PEARSON INT'L A,ON,0.3237864375114441,0.9651100307505132
600,1060,0.436,-2.4007826199030635,12.645432657636889,43.6667,-79.4,112.0,TORONTO,ON,0.32197198271751404,1.134475335377355
602,1053,0.494,-2.327916851748337,12.32637283896129,43.8081,-79.8081,270.0,SANDHILL,ON,0.3256779611110687,1.270764955250431
603,1037,0.401,-2.300804570575231,11.625346633334846,43.9833,-80.75,414.0,MOUNT FOREST,ON,0.3242288827896118,1.0361421089683076
603,1059,0.376,-2.3012399580428746,12.57237144415825,43.78,-79.4678,187.0,TORONTO NORTH YORK,ON,0.32386311888694763,0.9726419619256743
605,1058,0.415,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,240.0,RICHMOND HILL,ON,0.3251541554927826,1.069265215892905
605,1060,0.41200000000000003,-2.2053809803339703,12.62287891217746,43.8622,-79.37,198.0,TORONTO BUTTONVILLE A,ON,0.32446399331092834,1.0637935632333853
608,1038,0.258,-2.068590235243496,11.658569176059126,44.2036,-80.6378,472.0,PRICEVILLE,ON,0.31759822368621826,0.6805629342414923
609,1050,0.365,-2.0028898354841,12.2065379573681,44.1514,-79.8722,221.0,ALLISTON NELSON,ON,0.3244529068470001,0.9424706751376634
611,1027,0.36,-1.9374790458624405,11.156459894997607,44.43423333,-81.2871,216.0,WALKERTON composite,ON,0.2998177409172058,1.0059394131692025
611,1053,0.35700000000000004,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,244.0,COOKSTOWN,ON,0.32347989082336426,0.9245865667519511
616,1053,0.442,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,250.0,SHANTY BAY,ON,0.325302392244339,1.1383129152337403
616,1086,0.493,-1.7037724583668714,13.763648867181702,44.0833,-77.6667,119.0,SMITHFIELD CDA,ON,0.3856760263442993,1.070904951054819
617,1071,0.49,-1.6437599584267275,13.111996013499192,44.29722,-78.52882667,263.0,HALIBURTON A composite,ON,0.3700866997241974,1.1092239892297833
617,1074,0.37799999999999995,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,191.0,PETERBOROUGH A,ON,0.374726802110672,0.8450914231116047
617,1087,0.444,-1.647919910661428,13.848380542642577,44.1167,-77.5333,86.0,TRENTON A,ON,0.3906291425228119,0.9522368432883646
618,1028,0.348,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,222.0,WIARTON A,ON,0.31991109251976013,0.9113319494939456
619,1089,0.441,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,76.0,BELLEVILLE,ON,0.4005354046821594,0.9224106947031132
623,1084,0.499,-1.39563263390509,13.715114449914411,44.39395238,-77.62724286,178.0,STIRLING composite,ON,0.402957946062088,1.0374507106095017
623,1102,0.516,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,92.0,KINGSTON A,ON,0.40965262055397034,1.0552627674124793
627,1099,0.48,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,160.0,HARTINGTON IHD,ON,0.41396450996398926,0.9714149404811088
629,1055,0.46799999999999997,-1.1177117079756498,12.424309244301325,44.9667,-79.3,282.0,MUSKOKA A,ON,0.3593781590461731,1.0909901372509023
633,1067,0.502,-0.929498972966488,12.938661086656456,45.0322,-78.5311,330.0,HALIBURTON 3,ON,0.36932316422462463,1.1387380183886044
637,1052,0.48,-0.7779930357615851,12.262381226920443,45.33400909,-79.41611818,298.0,BURKS FALLS composite,ON,0.3677730858325958,1.0934223446437934
639,1000,0.371,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,194.0,GORE BAY A,ON,0.36365753412246704,0.85468871774948
640,1059,0.469,-0.6480473584073168,12.604555155685231,45.3833,-78.9,404.0,DWIGHT,ON,0.3521655201911926,1.1157134304674254
642,1043,0.59,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,268.0,DUNCHURCH,ON,0.3810206353664398,1.2972693753543811
647,968,0.355,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,192.0,SAULT STE MARIE A,ON,0.31143417954444885,0.9549678040493407
651,1109,0.46,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,114.0,OTTAWA MACDONALD-CARTIER INT'L A,ON,0.368374764919281,1.0461515697211399
652,1108,0.491,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,79.0,OTTAWA CDA,ON,0.36737048625946045,1.1197056769022533
652,1134,0.41200000000000003,-0.11059958944123897,15.91164378309388,45.05,-74.1667,49.0,HUNTINGDON,QC,0.3777197599411011,0.9138063299600422
653,1111,0.506,-0.08342891017602053,14.878650645037006,45.36306667,-75.56446667,107.0,OTTAWA ROCKCLIFFE A composite,ON,0.37310895323753357,1.1361652373768703
653,1131,0.42700000000000005,-0.06763698819223248,15.76386408140092,45.1333,-74.35,53.0,ST ANICET,QC,0.3740578293800354,0.9563476096986557
654,1102,0.425,-0.010141822987990141,14.504972791199682,45.5333,-76.05,69.0,LUSKVILLE,QC,0.35831204056739807,0.9936974580274851
654,1135,0.348,-0.02306995179155099,15.971452536902286,45.1167,-74.05,46.0,ORMSTOWN,QC,0.37658587098121643,0.7741798672667485
654,1141,0.33799999999999997,-0.002819591108613995,16.211153361252567,45.0667,-73.7167,61.0,HEMMINGFORD FOUR WINDS,QC,0.380166232585907,0.7448516983311606
655,1050,0.327,0.0108004267438218,12.200271604969695,46.1167,-79.25,274.0,POWASSAN,ON,0.3195629119873047,0.8572708049974087
656,1146,0.436,0.08212766041682308,16.43136179542141,45.0833,-73.3833,49.0,ST BERNARD DE LACOLLE,QC,0.38751962780952454,0.9425826380466658
657,1110,0.493,0.09932157620079315,14.83803900373631,45.55,-75.55,91.0,ANGERS,QC,0.3740851581096649,1.1040864818116611
657,1134,0.46399999999999997,0.12639370122986404,15.889859305178064,45.2833,-74.1,46.0,VALLEYFIELD,QC,0.37982815504074097,1.0234284311353008
657,1141,0.41,0.09970703767826301,16.204535378802806,45.1667,-73.6833,56.0,STE CLOTHILDE CDA,QC,0.38140207529067993,0.9005906960500468
658,1081,0.315,0.16636607784747412,13.543748046258958,45.95,-77.3167,130.0,PETAWAWA A,ON,0.30567869544029236,0.8633204603329008
659,1081,0.318,0.19407473605052883,13.584505642712083,45.9667,-77.25,137.0,SHEENBORO,QC,0.30868294835090637,0.8630602829571271
659,1157,0.385,0.2143332821945056,16.907970562019244,45.0667,-72.6833,244.0,SUTTON,QC,0.41905471682548523,0.7696914232391052
660,1046,0.36,0.2247059616752298,12.02855117692835,46.3636,-79.4228,370.0,NORTH BAY A,ON,0.32233381271362305,0.9356712527826694
660,1148,0.384,0.2478536721012904,16.515278173256952,45.2167,-73.2,38.0,SABREVOIS,QC,0.39306917786598206,0.8184438413435057
