id,station_name,province,lon,lat,elev (m),RL50 (mm)
1002,VANCOUVER KITSILANO,BC,-123.167,49.2667,12,104.1973645
1006,VANCOUVER OAKRIDGE,BC,-123.12,49.2347,76,93.18692416
1007,VANCOUVER PMO,BC,-123.117,49.2833,59,122.4342108
1013,VANCOUVER UBC,BC,-123.25,49.25,76,88.03322711
1035,WHISTLER ROUNDHOUSE,BC,-122.947,50.0678,1835,114.055229
1065,PITT MEADOWS STP,BC,-122.683,49.2167,5,101.7170499
108,VICTORIA FRANCIS PARK,BC,-123.443,48.4764,55,125.0056589
109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,91.29333972
1093,HELLS GATE,BC,-121.45,49.7833,122,101.4111872
1095,HOPE A,BC,-121.498,49.3683,39,152.9341059
1100,HOPE KAWKAWA LAKE,BC,-121.4,49.3833,152,116.2339256
1103,HOPE SLIDE,BC,-121.233,49.2667,685,119.9742894
1109,LILLOOET CEDAR FALLS,BC,-121.867,50.6,555,49.24718939
1113,LILLOOET SETON BCHPA,BC,-121.924,50.6733,198,49.40651569
1121,LYTTON 2,BC,-121.608,50.2569,174,88.67862235
1128,PORCUPINE CREEK,BC,-121.8,51.0333,1190,53.66461486
1129,SHALALTH,BC,-122.241,50.7283,244,72.74204906
113,VICTORIA HIGHLAND,BC,-123.508,48.5092,191,123.3195952
1145,DOUGLAS LAKE,BC,-120.2,50.1648,808,37.29037244
1147,HEDLEY,BC,-120.077,49.3572,517,41.65842505
1149,HEDLEY NP MINE,BC,-120.022,49.3695,1651,50.74643635
1150,HIGHLAND VALLEY BCCL,BC,-121,50.5,1470,37.61873566
1151,HIGHLAND VALLEY LORNEX,BC,-121.017,50.4667,1268,37.01066037
1152,JELLICOE,BC,-120.333,49.6728,929,44.10265149
1153,JOE RICH CREEK,BC,-119.126,49.8572,875,43.06696566
1164,KELOWNA LAKEVIEW,BC,-119.553,49.8637,525,39.98755832
1165,KELOWNA PC BURNETTS NURSERY,BC,-119.484,49.8742,350,36.53578749
1174,LOGAN LAKE,BC,-120.817,50.5,1101,42.13575694
1177,MCCULLOCH,BC,-119.2,49.8,1250,40.67515312
1182,MERRITT STP,BC,-120.801,50.1142,609,37.30977372
1186,NARAMATA,BC,-119.571,49.5507,411,38.57655258
1191,OKANAGAN CENTRE,BC,-119.445,50.0561,370,40.49167279
1206,OYAMA,BC,-119.367,50.1142,440,36.78281629
1208,PEACHLAND,BC,-119.717,49.7833,345,33.87260182
1210,PEACHLAND BRENDA MINES,BC,-120,49.8667,1520,37.64433643
1217,PENTICTON A,BC,-119.602,49.4631,344,41.42514728
1220,PRINCETON A,BC,-120.513,49.4678,702,42.98354736
1228,SUMMERLAND CDA,BC,-119.65,49.5667,454,36.81394416
1231,VERNON,BC,-119.283,50.2333,556,35.47131249
1232,VERNON BELLA VISTA,BC,-119.31,50.2642,427,41.4958648
1234,VERNON COLDSTREAM RANCH,BC,-119.2,50.2167,482,37.95968695
12341,FREDERICTON CDA,NB,-66.6167,45.9167,40,96.79021619
1237,VERNON NORTH,BC,-119.271,50.3443,538,49.70600761
1238,VERNON SILVER STAR LODGE,BC,-119.056,50.359,1586,74.6721465
1243,WINFIELD,BC,-119.416,50.0366,506,40.83025981
1253,BEAVERDELL,BC,-119.105,49.4227,780,41.84949358
1254,BEAVERDELL NORTH,BC,-119.047,49.4783,838,38.94902317
1258,CARMI,BC,-119.083,49.5,1245,41.01695375
1260,GRAND FORKS,BC,-118.466,49.0262,532,42.27747417
1265,GREENWOOD,BC,-118.683,49.1,763,40.98213317
1268,MIDWAY,BC,-118.772,49.0037,571,54.25770468
127,VICTORIA TILLICUM,BC,-123.392,48.4497,23,84.97703768
1273,BILLINGS,BC,-118.228,49.0168,519,54.96395823
1278,CASTLEGAR A,BC,-117.632,49.2964,496,56.33313549
1280,CASTLEGAR BCHPA DAM,BC,-117.774,49.3434,435,38.69878941
1283,COLUMBIA GARDENS,BC,-117.6,49.05,433,44.73468889
129,WILLIAM HEAD,BC,-123.539,48.3397,12,93.08932695
1290,DEER PARK,BC,-118.05,49.4167,485,35.1681598
1291,DUNCAN LAKE DAM,BC,-116.972,50.2387,549,48.97143691
1293,FAUQUIER,BC,-118.067,49.8719,490,47.51983291
1299,KASLO,BC,-116.921,49.9127,600,53.00915083
1305,LISTER,BC,-116.458,49.032,660,53.42464959
1307,NAKUSP,BC,-117.8,50.25,457,43.26057358
1313,NELSON NE,BC,-117.206,49.5861,570,58.35358945
1316,NELSON 2,BC,-117.283,49.5,604,37.88338661
1318,NEW DENVER,BC,-117.37,49.9958,568,48.77966729
1319,OLD GLORY MOUNTAIN,BC,-117.917,49.15,2347,42.45891938
1323,ROBSON,BC,-117.7,49.3333,442,53.5405702
1330,SOUTH SLOCAN,BC,-117.523,49.4601,457,51.81791916
1335,WANETA,BC,-117.583,49.0167,558,47.74350835
1336,WARFIELD,BC,-117.75,49.1,606,52.34944645
1343,NELSON RIXEN CREEK,BC,-117.399,49.5123,760,57.98520931
1347,ABERFELDIE,BC,-115.367,49.5,805,56.15862519
1348,BAYNES LAKE KOOTENAY RIVER,BC,-115.221,49.226,800,50.04934252
1349,CANAL FLATS RANGER STN,BC,-115.817,50.15,817,40.60209154
1355,CRANBROOK A,BC,-115.782,49.6122,940,47.86541134
1362,ELKO,BC,-115.117,49.3,931,55.91298202
1363,FERNIE,BC,-115.073,49.4887,1001,106.5128314
1367,FORDING RIVER COMINCO,BC,-114.855,50.1486,1585,50.83919639
1370,FT STEELE DANDY CRK,BC,-115.461,49.5239,856,57.50367791
1371,GRASMERE,BC,-115.067,49.0833,869,61.63090334
1376,KIMBERLEY A,BC,-115.783,49.7333,914,51.45687381
1381,KOOTENAY NP KTNY CRSG,BC,-116.051,50.8833,1170,41.48355842
1384,KOOTENAY NP WEST GATE,BC,-116.061,50.6308,935,52.42393157
1392,SPARWOOD,BC,-114.883,49.7453,1138,52.88476105
1397,WARDNER KTNY HATCHERY,BC,-115.46,49.4732,760,47.03480166
1398,WASA,BC,-115.631,49.8073,970,50.51454905
1405,ARMSTRONG,BC,-119.183,50.45,359,43.77100711
1407,ARMSTRONG NORTH,BC,-119.133,50.4667,373,40.77194627
1408,ASHCROFT,BC,-121.283,50.7167,305,29.49644096
1412,ASHCROFT M,BC,-121.333,50.7167,488,37.17734973
1415,BARRIERE,BC,-120.117,51.1833,415,42.97046292
1422,BRIDGE LAKE 2,BC,-120.793,51.5038,1155,44.35566844
1424,BUFFALO LAKE,BC,-121.083,51.7086,989,54.76693854
1429,CHASE,BC,-119.686,50.8189,359,36.97687209
1442,CRISS CREEK,BC,-120.728,51.0297,1122,43.77376505
1443,DARFIELD,BC,-120.183,51.2918,466,43.55827442
1444,EAGLE BAY,BC,-119.217,50.9333,412,50.43491066
1448,FALKLAND SALMON VALLEY,BC,-119.4,50.4667,485,34.79751356
1451,HAT CREEK,BC,-121.583,50.75,923,39.18666015
1452,HEFFLEY CREEK,BC,-120.183,50.9167,683,42.47696876
1460,KAMLOOPS,BC,-120.333,50.6667,379,40.33501897
1472,KAMLOOPS VALLEYVIEW,BC,-120.253,50.675,347,39.82666696
1482,LUMBY,BC,-118.956,50.2362,500,39.14193613
1485,MALAKWA EAGLE R HATCHERY,BC,-118.65,51,404,51.15333326
149,ALERT BAY,BC,-126.933,50.5833,59,114.4188645
1490,MCLURE,BC,-120.222,51.0467,381,36.48382621
1496,100 MILE HOUSE,BC,-121.303,51.6469,1059,49.47414945
1497,100 MILE HOUSE 6NE,BC,-121.217,51.6814,928,50.39976568
1499,RED LAKE,BC,-120.8,50.935,1162,41.47347729
15,CHEMAINUS,BC,-123.742,48.935,75,91.52641698
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,45.46383305
1502,RUTH LAKE,BC,-120.979,51.8447,795,46.53762248
151,BLACK CREEK,BC,-125.133,49.8461,46,130.1328371
1511,SEYMOUR ARM,BC,-118.95,51.25,351,54.22467359
1513,SHUSWAP FALLS,BC,-118.817,50.3,427,47.47078556
1514,SICAMOUS,BC,-119,50.8,427,47.52403713
1516,SILVER CREEK,BC,-119.35,50.5452,419,42.93453657
1517,SORRENTO,BC,-119.483,50.8833,390,48.71657298
1518,SORRENTO EAST,BC,-119.4,50.8833,488,37.80711616
1520,SPENCES BRIDGE NICOLA,BC,-121.315,50.4218,235,35.75976553
