history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day)
15,CHEMAINUS,BC,-123.742,48.935,75,11,-3,25,2661
26,COWICHAN LAKE FORESTRY,BC,-124.133,48.8244,177,10,-5,23,3041
36,DUNCAN KELVIN CREEK,BC,-123.728,48.7347,103,10,-5,22,2948
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,10,-2,19,2934
58,MAYNE ISLAND,BC,-123.32,48.8447,28,10,-4,23,2853
71,PENDER ISLAND,BC,-123.3,48.7667,26,11,-3,23,2614
73,POINT-NO-POINT,BC,-123.991,48.4058,25,10,0,19,2751
74,PORT RENFREW,BC,-124.326,48.5917,10,9,-3,21,3163
76,RACE ROCKS LIGHTSTATION,BC,-123.533,48.3,5,10,-3,17,3043
78,SAANICHTON CDA,BC,-123.419,48.6217,61,10,-3,23,2832
83,SALTSPRING IS CUSHEON LK,BC,-123.477,48.8203,108,9,-7,22,3318
90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,11,-4,21,2770
91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,10,-6,24,3009
93,SHERINGHAM POINT,BC,-123.921,48.3767,7,10,-1,20,2883
106,VICTORIA UNIVERSITY CS,BC,-123.305,48.457,60,11,-2,21,2621
109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,11,-2,23,2716
121,VICTORIA MARINE,BC,-123.75,48.3667,32,9,-4,19,3180
129,WILLIAM HEAD,BC,-123.539,48.3397,12,10,-2,20,2721
149,ALERT BAY,BC,-126.933,50.5833,59,9,-4,18,3377
159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,9,-7,24,3272
168,CAPE MUDGE,BC,-125.195,49.9985,5,10,-3,23,2909
170,CHATHAM POINT,BC,-125.446,50.3332,23,10,-4,20,3103
174,COMOX A,BC,-124.9,49.7167,26,10,-4,23,2952
176,COOMBS,BC,-124.429,49.3058,98,9,-5,23,3284
177,CORTES ISLAND,BC,-125.033,50.0833,6,10,-5,23,2849
179,CORTES ISLAND TIBER BAY,BC,-124.949,50.0714,15,10,-4,22,3027
203,LITTLE QUALICUM HATCHERY,BC,-124.512,49.3528,30,9,-6,22,3265
209,MUD BAY,BC,-124.794,49.4708,4,10,-6,23,3091
214,NANAIMO A,BC,-123.87,49.0544,28,10,-5,24,2982
226,PINE ISLAND,BC,-127.728,50.9758,28,9,-2,17,3270
228,PORT HARDY A,BC,-127.366,50.6803,22,8,-4,18,3469
236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,10,-4,22,3079
