history_id,station_name,province,lon,lat,elev (m),HDD (degC-day),Tmean (degC),Tmax (degC),Tmin (degC)
15,CHEMAINUS,BC,-123.742,48.935,75,2661.023529,11.16043346,24.71,-2.82
26,COWICHAN LAKE FORESTRY,BC,-124.133,48.8244,177,3041.259091,9.734961678,23.14666667,-5.313333333
36,DUNCAN KELVIN CREEK,BC,-123.728,48.7347,103,2947.51,10.00495763,21.66666667,-4.54
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,2934,10.30139818,18.95833333,-1.891666667
58,MAYNE ISLAND,BC,-123.32,48.8447,28,2853.26,10.2731971,22.61333333,-4.48
71,PENDER ISLAND,BC,-123.3,48.7667,26,2613.509091,11.09161148,23.49230769,-3.376923077
73,POINT-NO-POINT,BC,-123.991,48.4058,25,2750.95,10.28728169,19.46923077,-0.076923077
74,PORT RENFREW,BC,-124.326,48.5917,10,3162.91,9.371306818,20.65217391,-3.17826087
76,RACE ROCKS LIGHTSTATION,BC,-123.533,48.3,5,3043.127273,9.607486157,17.40769231,-2.507692308
83,SALTSPRING IS CUSHEON LK,BC,-123.477,48.8203,108,3318.217647,8.890922149,21.63888889,-6.6
90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,2769.927273,11.04233512,21.29166667,-3.758333333
91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,3008.886207,9.955045303,23.85172414,-5.524137931
93,SHERINGHAM POINT,BC,-123.921,48.3767,7,2883.04,10.09694176,20.32307692,-0.984615385
106,VICTORIA UNIVERSITY CS,BC,-123.305,48.457,60,2620.725,10.9768854,21.4,-2.271428571
109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,2715.74,10.70321186,22.7,-2.366666667
121,VICTORIA MARINE,BC,-123.75,48.3667,32,3179.966667,9.224078033,19.16363636,-4.127272727
129,WILLIAM HEAD,BC,-123.539,48.3397,12,2721.4,10.49616338,20.37692308,-2.1
149,ALERT BAY,BC,-126.933,50.5833,59,3376.7125,8.609757194,17.91538462,-4.115384615
159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,3272.058621,9.147319384,23.890625,-7.1
168,CAPE MUDGE,BC,-125.195,49.9985,5,2908.96087,10.06742053,23,-3.1375
170,CHATHAM POINT,BC,-125.446,50.3332,23,3103.1,9.509802405,20.42307692,-4.342307692
174,COMOX A,BC,-124.9,49.7167,26,2951.7,10.05753724,22.54722222,-3.936111111
176,COOMBS,BC,-124.429,49.3058,98,3283.5,9.27891852,22.85,-5.45
177,CORTES ISLAND,BC,-125.033,50.0833,6,2849.366667,10.4257384,22.92222222,-4.855555556
179,CORTES ISLAND TIBER BAY,BC,-124.949,50.0714,15,3026.68,10.10266502,21.675,-4.141666667
203,LITTLE QUALICUM HATCHERY,BC,-124.512,49.3528,30,3265.46,9.099928838,21.85454545,-5.609090909
209,MUD BAY,BC,-124.794,49.4708,4,3090.976923,9.76801676,22.54615385,-5.869230769
214,NANAIMO A,BC,-123.87,49.0544,28,2981.648148,10.13092433,24.31290323,-4.896774194
226,PINE ISLAND,BC,-127.728,50.9758,28,3269.895455,9.102860621,16.8,-1.6
228,PORT HARDY A,BC,-127.366,50.6803,22,3468.889655,8.476175099,18.05806452,-4.009677419
236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,3078.985714,9.796207303,21.67619048,-4.447619048
248,UPPER CAMPBELL LAKE,BC,-125.633,49.9,549,3587.783333,8.317344413,24.8,-8.838461538
249,ENTRANCE ISLAND,BC,-123.809,49.2089,7,2635.845455,10.97988649,20.93529412,-1.123529412
264,BAMFIELD EAST,BC,-125.117,48.8333,4,3071.014286,9.626306452,20.25333333,-2.353333333
268,CAPE BEALE LIGHT,BC,-125.216,48.7861,26,2978.803704,9.784684909,19.85517241,-0.882758621
270,CAPE SCOTT,BC,-128.427,50.7822,72,3213.00625,8.981443642,16.73684211,-1.9
277,ESTEVAN POINT,BC,-126.543,49.3833,6,3031.612903,9.713169625,18.378125,-0.846875
280,GOLD RIVER TOWNSITE,BC,-126.055,49.7789,119,3262.85,9.529715517,24.27368421,-7.336842105
298,NITINAT RIVER HATCHERY,BC,-124.655,48.8594,15,3115.433333,9.836848761,22.69,-4.34
299,NOOTKA LIGHTSTATION,BC,-126.617,49.6,16,2847.933333,10.23214752,21.52258065,-0.696774194
