history_id,station_name,province,lon,lat,elev (m),TJan2.5 (degC),TJan1.0 (degC)
31,DISCOVERY ISLAND,BC,-123.226,48.4246,19,0.7,-1.4
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,-1.4,-3.2
56,MALAHAT,BC,-123.53,48.5749,366,-5.2,-7.0
93,SHERINGHAM POINT,BC,-123.921,48.3767,7,-0.6,-2.4
106,VICTORIA UNIVERSITY CS,BC,-123.305,48.457,60,-1.7,-3.4
110,VICTORIA GONZALES CS,BC,-123.325,48.4133,61,-1.4,-3.3
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,-0.4,-1.3
174,COMOX A,BC,-124.9,49.7167,26,-4.0,-5.7
191,ENTRANCE ISLAND,BC,-123.811,49.2087,8,-0.1,-1.7
192,FANNY ISLAND,BC,-125.993,50.4535,5,-2.3,-4.2
228,PORT HARDY A,BC,-127.366,50.6803,22,-3.4,-5.2
312,PORT ALBERNI (AUT),BC,-124.927,49.3166,76,-6.0,-8.4
370,HOWE SOUND - PAM ROCKS,BC,-123.299,49.4878,7,-2.6,-4.0
409,CAPE ST JAMES,BC,-131.017,51.9333,92,-1.2,-4.0
432,SANDSPIT A,BC,-131.813,53.2539,6,-3.3,-5.3
473,HOLLAND ROCK,BC,-130.361,54.1722,6,-3.0,-5.1
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,-10.9,-13.3
522,TERRACE A,BC,-128.577,54.4664,217,-18.4,-20.4
575,SMITHERS A,BC,-127.183,54.8247,522,-26.6,-30.0
662,BURNS LAKE DECKER LAKE,BC,-125.959,54.3832,713,-32.1,-36.2
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,-31.2,-34.7
737,QUESNEL A,BC,-122.51,53.0261,545,-29.5,-33.0
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,-27.9,-31.5
782,ABBOTSFORD A,BC,-122.36,49.0253,59,-6.7,-8.9
788,AGASSIZ RCS,BC,-121.76,49.2431,19,-7.4,-9.4
940,PITT MEADOWS CS,BC,-122.69,49.2083,5,-6.9,-8.7
966,SANDHEADS CS,BC,-123.303,49.1059,11,-2.7,-4.5
1036,WHITE ROCK CAMPBELL SCIENTIFIC,BC,-122.784,49.0181,13,-4.5,-6.6
1107,LILLOOET,BC,-121.934,50.6837,240,-17.4,-20.2
1217,PENTICTON A,BC,-119.602,49.4631,344,-12.5,-14.5
1248,PRINCETON CS,BC,-120.51,49.465,697,-23.1,-27.8
1249,SUMMERLAND CS,BC,-119.649,49.5626,454,-13.2,-15.8
1306,NAKUSP CS,BC,-117.817,50.2694,512,-12.6,-15.0
1342,CRESTON CAMPBELL SCIENTIFIC,BC,-116.501,49.0817,641,-13.3,-15.7
1355,CRANBROOK A,BC,-115.782,49.6122,940,-23.2,-26.1
1423,BLUE RIVER CS,BC,-119.29,52.129,683,-28.5,-32.6
1437,CLINTON (AUT),BC,-121.505,51.1447,1057,-26.1,-28.9
1541,SALMON ARM CS,BC,-119.291,50.703,351,-17.5,-21.6
1577,REVELSTOKE A,BC,-118.183,50.9611,445,-16.3,-20.1
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,-33.2,-35.7
1643,MACKENZIE A,BC,-123.138,55.3053,690,-31.9,-36.7
1686,FORT NELSON A,BC,-122.597,58.8364,382,-38.0,-40.5
1717,DEASE LAKE (AUT),BC,-130.025,58.4261,801,-38.3,-40.6
1769,BURWASH A,YT,-139.05,61.3667,806,-43.2,-46.3
1774,CARMACKS CS,YT,-136.192,62.115,543,-43.4,-45.2
1797,FARO (AUT),YT,-133.376,62.2075,717,-45.1,-46.8
1806,HAINES JUNCTION,YT,-137.58,60.7725,595,-43.0,-45.9
1829,MAYO A,YT,-135.867,63.6167,504,-49.2,-50.6
1865,DAWSON,YT,-139.127,64.0609,370,-48.3,-49.5
1881,TESLIN (AUT),YT,-132.733,60.1667,705,-41.4,-43.8
1887,WATSON LAKE A,YT,-128.822,60.1165,687,-46.1,-48.2
1893,WHITEHORSE A,YT,-135.069,60.7095,706,-41.2,-43.4
1912,CAPE PARRY A,NT,-124.717,70.1667,87,-36.6,-38.3
1919,DELINE CS,NT,-123.433,65.2086,213,-39.2,-41.3
1928,FORT GOOD HOPE CS,NT,-128.644,66.2422,82,-42.5,-44.0
1944,FORT RELIANCE,NT,-109.167,62.7167,166,-42.6,-45.6
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,-41.5,-43.7
1952,FORT SIMPSON CLIMATE,NT,-121.237,61.7603,168,-38.7,-40.9
1959,FORT SMITH A,NT,-111.962,60.0203,205,-39.8,-41.6
1961,FORT SMITH CLIMATE,NT,-111.929,60.0261,203,-36.5,-39.1
1968,HAY RIVER A,NT,-115.783,60.8397,165,-38.2,-40.0
1970,HAY RIVER CLIMATE,NT,-115.777,60.8389,164,-35.6,-37.5
1979,INUVIK A,NT,-133.483,68.3042,68,-42.0,-43.9
1982,INUVIK CLIMATE,NT,-133.517,68.3167,103,-37.4,-39.1
1987,LAC LA MARTRE,NT,-117.245,63.1336,271,-41.2,-44.0
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,-42.7,-44.2
2004,PAULATUK,NT,-124.083,69.3578,6,-35.9,-36.9
2015,RAE LAKES,NT,-117.328,64.1117,221,-44.0,-46.0
2031,TUKTOYAKTUK,NT,-133.017,69.4333,5,-38.2,-39.5
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,-41.3,-43.0
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,-41.8,-43.3
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,-40.2,-41.8
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,-40.3,-41.4
2093,ARVIAT CLIMATE,NU,-94.0667,61.1,10,-38.4,-39.5
2099,GJOA HAVEN CLIMATE,NU,-95.8503,68.6356,42,-42.0,-43.4
2114,KUGAARUK CLIMATE,NU,-89.7964,68.5375,16,-41.2,-42.5
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,-41.6,-42.5
2170,CAPE DORSET CLIMATE,NU,-76.5304,64.2308,50,-31.4,-32.7
2173,CAPE DYER A,NU,-61.6167,66.5833,393,-38.8,-40.2
2204,HALL BEACH A,NU,-81.2425,68.7758,9,-43.0,-44.1
2216,IQALUIT A,NU,-68.55,63.75,34,-39.0,-40.3
2218,IQALUIT CLIMATE,NU,-68.5444,63.7472,34,-35.7,-37.3
2254,POND INLET CLIMATE,NU,-77.9575,72.6933,65,-40.1,-41.1
