history_id,station_name,province,lon,lat,elev (m),TJan2.5 (degC),TJan1.0 (degC)
31,DISCOVERY ISLAND,BC,-123.226,48.4246,19,0.7,-1.4
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,-1.4,-3.2
56,MALAHAT,BC,-123.53,48.5749,366,-5.2,-7
90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,-0.7,-1.8
93,SHERINGHAM POINT,BC,-123.921,48.3767,7,-0.6,-2.4
106,VICTORIA UNIVERSITY CS,BC,-123.305,48.457,60,-1.7,-3.4
110,VICTORIA GONZALES CS,BC,-123.325,48.4133,61,-1.4,-3.3
131,VICTORIA HARTLAND CS,BC,-123.459,48.5338,154,-2.4,-4.1
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,-0.4,-1.3
174,COMOX A,BC,-124.9,49.7167,26,-4,-5.7
191,ENTRANCE ISLAND,BC,-123.811,49.2087,8,-0.1,-1.7
192,FANNY ISLAND,BC,-125.993,50.4535,5,-2.3,-4.2
228,PORT HARDY A,BC,-127.366,50.6803,22,-3.4,-5.2
233,QUALICUM BEACH AIRPORT,BC,-124.394,49.3372,58,-4.3,-5.7
242,SISTERS ISLAND,BC,-124.435,49.4866,20,0.8,-0.3
278,ESTEVAN POINT CS,BC,-126.543,49.3833,6,-1.6,-2.7
312,PORT ALBERNI (AUT),BC,-124.927,49.3166,76,-6,-8.4
370,HOWE SOUND - PAM ROCKS,BC,-123.299,49.4878,7,-2.6,-4
373,PORT MELLON,BC,-123.496,49.5263,125,-3.1,-4.3
377,POWELL RIVER,BC,-124.497,49.8346,125,-4,-5.1
395,SQUAMISH AIRPORT,BC,-123.161,49.7832,54,-7,-9.3
409,CAPE ST JAMES,BC,-131.017,51.9333,92,-1.2,-4
432,SANDSPIT A,BC,-131.813,53.2539,6,-3.3,-5.3
470,GREY ISLET (AUT),BC,-130.698,54.5803,10,-5.8,-7.5
472,HERBERT ISLAND (AUT),BC,-127.632,50.9398,14,0.3,-0.8
473,HOLLAND ROCK,BC,-130.361,54.1722,6,-3,-5.1
488,LUCY ISLAND LIGHTSTATION,BC,-130.609,54.2959,2,-3,-4.4
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,-10.9,-13.3
522,TERRACE A,BC,-128.577,54.4664,217,-18.4,-20.4
575,SMITHERS A,BC,-127.183,54.8247,522,-26.6,-30
627,OOTSA LAKESKINS LAKE CLIMATE,BC,-125.997,53.7719,861,-24.7,-27.4
628,PEMBERTON AIRPORT (WIND),BC,-122.738,50.3022,203,-15.7,-17.8
629,PEMBERTON AIRPORT CS,BC,-122.734,50.3056,204,-15.4,-17.5
638,PUNTZI MOUNTAIN (AUT),BC,-124.136,52.1144,910,-31.8,-35.8
648,TATLAYOKO LAKE RCS,BC,-124.403,51.6746,875,-24.5,-27.6
662,BURNS LAKE DECKER LAKE,BC,-125.959,54.3832,713,-32.1,-36.2
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,-31.2,-34.7
737,QUESNEL A,BC,-122.51,53.0261,545,-29.5,-33
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,-27.9,-31.5
782,ABBOTSFORD A,BC,-122.36,49.0253,59,-6.7,-8.9
788,AGASSIZ RCS,BC,-121.76,49.2431,19,-7.4,-9.4
799,BLACKCOMB BASE SLIDING CENTER,BC,-122.936,50.1025,937,-12.7,-15.6
940,PITT MEADOWS CS,BC,-122.69,49.2083,5,-6.9,-8.7
944,POINT ATKINSON,BC,-123.265,49.3304,14,-0.4,-1.5
966,SANDHEADS CS,BC,-123.303,49.1059,11,-2.7,-4.5
998,VANCOUVER HARBOUR CS,BC,-123.122,49.2954,3,-1,-3.3
1019,WEST VANCOUVER AUT,BC,-123.193,49.347,170,-4,-6
1036,WHITE ROCK CAMPBELL SCIENTIFIC,BC,-122.784,49.0181,13,-4.5,-6.6
1107,LILLOOET,BC,-121.934,50.6837,240,-17.4,-20.2
11161122,LYTTON COMPOSITE,BC,-121.582,50.2244,225,-16.1,-18.5
1202,OSOYOOS CS,BC,-119.441,49.0283,283,-12.8,-15.7
1217,PENTICTON A,BC,-119.602,49.4631,344,-12.5,-14.5
1236,VERNON AUTO,BC,-119.194,50.2233,482,-16.3,-18.5
1248,PRINCETON CS,BC,-120.51,49.465,697,-23.1,-27.8
1249,SUMMERLAND CS,BC,-119.649,49.5626,454,-13.2,-15.8
1306,NAKUSP CS,BC,-117.817,50.2694,512,-12.6,-15
1320,NELSON CS,BC,-117.305,49.4914,535,-11.9,-14.6
1337,WARFIELD RCS,BC,-117.739,49.1119,567,-12.8,-15.4
1342,CRESTON CAMPBELL SCIENTIFIC,BC,-116.501,49.0817,641,-13.3,-15.7
1355,CRANBROOK A,BC,-115.782,49.6122,940,-23.2,-26.1
1393,SPARWOOD CS,BC,-114.884,49.745,1137,-26.1,-29.3
1423,BLUE RIVER CS,BC,-119.29,52.129,683,-28.5,-32.6
1437,CLINTON (AUT),BC,-121.505,51.1447,1057,-26.1,-28.9
14611470,KAMLOOPS COMPOSITE,BC,-120.442,50.7022,345,-19,-22.3
1541,SALMON ARM CS,BC,-119.291,50.703,351,-17.5,-21.6
1577,REVELSTOKE A,BC,-118.183,50.9611,445,-16.3,-20.1
1596,YOHO PARK,BC,-116.345,51.4429,1602,-29.2,-32.2
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,-33.2,-35.7
1643,MACKENZIE A,BC,-123.138,55.3053,690,-31.9,-36.7
1685,DEASE LAKE LWIS,BC,-130.032,58.4222,793,-36.1,-38.9
1686,FORT NELSON A,BC,-122.597,58.8364,382,-38,-40.5
1717,DEASE LAKE (AUT),BC,-130.025,58.4261,801,-38.3,-40.6
1769,BURWASH A,YT,-139.05,61.3667,806,-43.2,-46.3
1774,CARMACKS CS,YT,-136.192,62.115,543,-43.4,-45.2
1797,FARO (AUT),YT,-133.376,62.2075,717,-45.1,-46.8
1806,HAINES JUNCTION,YT,-137.58,60.7725,595,-43,-45.9
1829,MAYO A,YT,-135.867,63.6167,504,-49.2,-50.6
1843,OLD CROW RCS,YT,-139.839,67.5706,251,-47.1,-48.3
1865,DAWSON,YT,-139.127,64.0609,370,-48.3,-49.5
1881,TESLIN (AUT),YT,-132.733,60.1667,705,-41.4,-43.8
1887,WATSON LAKE A,YT,-128.822,60.1165,687,-46.1,-48.2
1893,WHITEHORSE A,YT,-135.069,60.7095,706,-41.2,-43.4
1895,WHITEHORSE AUTO,YT,-135.098,60.7331,707,-33.8,-35.9
