history_id,station_name,province,lon,lat,elev (m),TJul2.5 (degC)
31,DISCOVERY ISLAND,BC,-123.226,48.4246,19,21.7
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,21.4
56,MALAHAT,BC,-123.53,48.5749,366,27.7
90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,24.9775
93,SHERINGHAM POINT,BC,-123.921,48.3767,7,20
110,VICTORIA GONZALES CS,BC,-123.325,48.4133,61,23.3
131,VICTORIA HARTLAND CS,BC,-123.459,48.5338,154,28.655
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,23.12
174,COMOX A,BC,-124.9,49.7167,26,26.4
228,PORT HARDY A,BC,-127.366,50.6803,22,19.3
242,SISTERS ISLAND,BC,-124.435,49.4866,20,23.4
278,ESTEVAN POINT CS,BC,-126.543,49.3833,6,18.6
312,PORT ALBERNI (AUT),BC,-124.927,49.3166,76,30.7
370,HOWE SOUND - PAM ROCKS,BC,-123.299,49.4878,7,24.5
395,SQUAMISH AIRPORT,BC,-123.161,49.7832,54,29.2
409,CAPE ST JAMES,BC,-131.017,51.9333,92,16.6
432,SANDSPIT A,BC,-131.813,53.2539,6,19
470,GREY ISLET (AUT),BC,-130.698,54.5803,10,18
473,HOLLAND ROCK,BC,-130.361,54.1722,6,15.5
488,LUCY ISLAND LIGHTSTATION,BC,-130.609,54.2959,2,16.6
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,17.8
522,TERRACE A,BC,-128.577,54.4664,217,27.4
575,SMITHERS A,BC,-127.183,54.8247,522,26.8
648,TATLAYOKO LAKE RCS,BC,-124.403,51.6746,875,28.6
662,BURNS LAKE DECKER LAKE,BC,-125.959,54.3832,713,27.2
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,27.5
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,28
782,ABBOTSFORD A,BC,-122.36,49.0253,59,29.1
788,AGASSIZ RCS,BC,-121.76,49.2431,19,30.1
940,PITT MEADOWS CS,BC,-122.69,49.2083,5,30.1
944,POINT ATKINSON,BC,-123.265,49.3304,14,23.5
966,SANDHEADS CS,BC,-123.303,49.1059,11,22.3
998,VANCOUVER HARBOUR CS,BC,-123.122,49.2954,3,25.6
1036,WHITE ROCK CAMPBELL SCIENTIFIC,BC,-122.784,49.0181,13,24.2825
1107,LILLOOET,BC,-121.934,50.6837,240,35.8
1202,OSOYOOS CS,BC,-119.441,49.0283,283,35.4
1217,PENTICTON A,BC,-119.602,49.4631,344,32.7
1248,PRINCETON CS,BC,-120.51,49.465,697,33.1
1249,SUMMERLAND CS,BC,-119.649,49.5626,454,33.3
1306,NAKUSP CS,BC,-117.817,50.2694,512,31.6
1320,NELSON CS,BC,-117.305,49.4914,535,32.2
1337,WARFIELD RCS,BC,-117.739,49.1119,567,34.8
1342,CRESTON CAMPBELL SCIENTIFIC,BC,-116.501,49.0817,641,32.9
1355,CRANBROOK A,BC,-115.782,49.6122,940,31.6
1423,BLUE RIVER CS,BC,-119.29,52.129,683,30.9
1437,CLINTON (AUT),BC,-121.505,51.1447,1057,28.9
1541,SALMON ARM CS,BC,-119.291,50.703,351,32.1
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,25.8
1643,MACKENZIE A,BC,-123.138,55.3053,690,27.7
1686,FORT NELSON A,BC,-122.597,58.8364,382,27.6
1769,BURWASH A,YT,-139.05,61.3667,806,23.1
1797,FARO (AUT),YT,-133.376,62.2075,717,24.6
1806,HAINES JUNCTION,YT,-137.58,60.7725,595,23.6
1829,MAYO A,YT,-135.867,63.6167,504,26.4
1843,OLD CROW RCS,YT,-139.839,67.5706,251,25.4
1865,DAWSON,YT,-139.127,64.0609,370,26.2
1881,TESLIN (AUT),YT,-132.733,60.1667,705,23.7
1893,WHITEHORSE A,YT,-135.069,60.7095,706,24.7
1912,CAPE PARRY A,NT,-124.717,70.1667,87,16.1
1928,FORT GOOD HOPE CS,NT,-128.644,66.2422,82,28.7
1932,FORT LIARD,NT,-123.467,60.2333,213,28.2
1944,FORT RELIANCE,NT,-109.167,62.7167,166,23.2
1987,LAC LA MARTRE,NT,-117.245,63.1336,271,27
2004,PAULATUK,NT,-124.083,69.3578,6,22.3
2015,RAE LAKES,NT,-117.328,64.1117,221,26.2
2031,TUKTOYAKTUK,NT,-133.017,69.4333,5,23.5
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,25.4
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,22.6
2065,BAKER LAKE CLIMATE,NU,-96,64.3167,51,21.8
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,19.5
2093,ARVIAT CLIMATE,NU,-94.0667,61.1,10,20.5
2099,GJOA HAVEN CLIMATE,NU,-95.8503,68.6356,42,15.7
2114,KUGAARUK CLIMATE,NU,-89.7964,68.5375,16,19.7
