history_id,station_name,province,lon,lat,elev (m),TwJul2.5 (degC)
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,16.6
56,MALAHAT,BC,-123.53,48.5749,366,19
90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,19.7
93,SHERINGHAM POINT,BC,-123.921,48.3767,7,17.6
106,VICTORIA UNIVERSITY CS,BC,-123.305,48.457,60,19.5
110,VICTORIA GONZALES CS,BC,-123.325,48.4133,61,17.6
131,VICTORIA HARTLAND CS,BC,-123.459,48.5338,154,20.1
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,19.5
174,COMOX A,BC,-124.9,49.7167,26,18.3
192,FANNY ISLAND,BC,-125.993,50.4535,5,14.9
228,PORT HARDY A,BC,-127.366,50.6803,22,15.5
242,SISTERS ISLAND,BC,-124.435,49.4866,20,18.6
278,ESTEVAN POINT CS,BC,-126.543,49.3833,6,16.6225
312,PORT ALBERNI (AUT),BC,-124.927,49.3166,76,20
370,HOWE SOUND - PAM ROCKS,BC,-123.299,49.4878,7,20
395,SQUAMISH AIRPORT,BC,-123.161,49.7832,54,19.5
409,CAPE ST JAMES,BC,-131.017,51.9333,92,14.4
432,SANDSPIT A,BC,-131.813,53.2539,6,15.5
459,CATHEDRAL POINT (AUT),BC,-127.471,52.1875,26,17.5
470,GREY ISLET (AUT),BC,-130.698,54.5803,10,15.5
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,15
522,TERRACE A,BC,-128.577,54.4664,217,17.6
575,SMITHERS A,BC,-127.183,54.8247,522,17.1
629,PEMBERTON AIRPORT CS,BC,-122.734,50.3056,204,20.9
638,PUNTZI MOUNTAIN (AUT),BC,-124.136,52.1144,910,15.3
648,TATLAYOKO LAKE RCS,BC,-124.403,51.6746,875,15.8
662,BURNS LAKE DECKER LAKE,BC,-125.959,54.3832,713,16.7
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,17
737,QUESNEL A,BC,-122.51,53.0261,545,17.8
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,15.7
782,ABBOTSFORD A,BC,-122.36,49.0253,59,20.3
788,AGASSIZ RCS,BC,-121.76,49.2431,19,21.6
940,PITT MEADOWS CS,BC,-122.69,49.2083,5,20.7
1019,WEST VANCOUVER AUT,BC,-123.193,49.347,170,19.8
