history_id,station_name,province,lon,lat,elev (m),annual_pr (mm)
12,CENTRAL SAANICH VEYANESS,BC,-123.417,48.5833,53,842
13,CENTRAL SAANICH ISL VIEW,BC,-123.392,48.5733,38,843
15,CHEMAINUS,BC,-123.742,48.935,75,1331
24,COWICHAN BAY CHERRY POINT,BC,-123.557,48.7111,1,999
26,COWICHAN LAKE FORESTRY,BC,-124.133,48.8244,177,2175
29,LAKE COWICHAN,BC,-124.052,48.8294,171,2186
35,DUNCAN FORESTRY,BC,-123.683,48.7667,6,1059
36,DUNCAN KELVIN CREEK,BC,-123.728,48.7347,103,1356
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,832
45,GANGES MANSELL RD,BC,-123.498,48.8717,45,982
47,GALIANO NORTH,BC,-123.573,48.985,6,971
58,MAYNE ISLAND,BC,-123.32,48.8447,28,830
59,METCHOSIN,BC,-123.561,48.3742,164,1021
60,METCHOSIN HAPPY VALLEY,BC,-123.533,48.4167,76,1118
68,NORTH COWICHAN,BC,-123.718,48.8242,46,1193
70,NORTH PENDER ISLAND,BC,-123.287,48.7639,98,869
74,PORT RENFREW,BC,-124.326,48.5917,10,3587
78,SAANICHTON CDA,BC,-123.419,48.6217,61,904
86,SAANICHTON MT NEWTON,BC,-123.427,48.5975,43,1054
90,SATURNA ISLAND CS,BC,-123.045,48.7839,24,668
91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,1241
98,SOOKE LAKE NORTH,BC,-123.64,48.5756,231,1489
109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,632
113,VICTORIA HIGHLAND,BC,-123.508,48.5092,191,1146
129,WILLIAM HEAD,BC,-123.539,48.3397,12,922
142,VICTORIA PHYLLIS STREET,BC,-123.267,48.455,8,701
149,ALERT BAY,BC,-126.933,50.5833,59,1603
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,710
151,BLACK CREEK,BC,-125.133,49.8461,46,1605
153,BLIND CHANNEL,BC,-125.5,50.4167,3,2386
159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,1460
164,CAMPBELL RIVER SURFSIDE,BC,-125.207,49.945,9,1406
168,CAPE MUDGE,BC,-125.195,49.9985,5,1547
170,CHATHAM POINT,BC,-125.446,50.3332,23,2262
173,COAL HARBOUR RUPERT IN,BC,-127.5,50.6,57,1981
174,COMOX A,BC,-124.9,49.7167,26,1176
176,COOMBS,BC,-124.429,49.3058,98,1135
177,CORTES ISLAND,BC,-125.033,50.0833,6,1378
179,CORTES ISLAND TIBER BAY,BC,-124.949,50.0714,15,1277
180,COURTENAY GRANTHAM,BC,-124.999,49.7631,81,1474
181,COURTENAY PUNTLEDGE,BC,-125.033,49.6864,40,1439
188,DUNCAN BAY,BC,-125.283,50.0667,11,1630
194,GABRIOLA ISLAND,BC,-123.734,49.1539,46,923
195,HERIOT BAY SE,BC,-125.203,50.0994,17,1619
203,LITTLE QUALICUM HATCHERY,BC,-124.512,49.3528,30,1062
209,MUD BAY,BC,-124.794,49.4708,4,1655
214,NANAIMO A,BC,-123.87,49.0544,28,1143
219,NANAIMO CITY YARD,BC,-123.988,49.1991,114,1146
221,OYSTER RIVER UBC,BC,-125.133,49.8833,11,1392
225,NANAIMO DEPARTURE BAY,BC,-123.95,49.2167,8,954
226,PINE ISLAND,BC,-127.728,50.9758,28,2182
228,PORT HARDY A,BC,-127.366,50.6803,22,1895
236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,1301
237,QUINSAM RIVER HATCHERY,BC,-125.304,50.0161,46,1601
258,ALBERNI ROBERTSON CREEK,BC,-124.982,49.3372,74,2128
264,BAMFIELD EAST,BC,-125.117,48.8333,4,2907
267,BULL HARBOUR,BC,-127.95,50.9167,14,2184
268,CAPE BEALE LIGHT,BC,-125.216,48.7861,26,2744
270,CAPE SCOTT,BC,-128.427,50.7822,72,2702
272,CARMANAH POINT,BC,-124.751,48.6117,38,2818
277,ESTEVAN POINT,BC,-126.543,49.3833,6,3156
280,GOLD RIVER TOWNSITE,BC,-126.055,49.7789,119,2761
294,LENNARD ISLAND,BC,-125.923,49.1106,11,3105
298,NITINAT RIVER HATCHERY,BC,-124.655,48.8594,15,3737
299,NOOTKA LIGHTSTATION,BC,-126.617,49.6,16,3220
300,PACHENA POINT,BC,-125.097,48.7228,37,2998
302,PORT ALBERNI A,BC,-124.833,49.25,2,1893
307,PORT ALICE,BC,-127.455,50.3858,21,3362
309,QUATSINO,BC,-127.653,50.5336,3,2528
310,QUATSINO LIGHTSTATION,BC,-128.033,50.4411,21,2516
319,TOFINO A,BC,-125.773,49.0822,24,3266
326,UCLUELET KENNEDY CAMP,BC,-125.527,48.9453,40,3400
338,BOWEN ISLAND BOWEN BAY,BC,-123.42,49.3648,37,1599
348,CLOWHOM FALLS,BC,-123.533,49.7167,23,2256
351,GAMBIER HARBOUR,BC,-123.433,49.4431,53,1893
353,GIBSONS,BC,-123.514,49.3969,62,1419
354,GIBSONS GOWER POINT,BC,-123.541,49.3856,34,1344
363,LOIS RIVER DAM,BC,-124.318,49.7953,157,1582
365,MALIBU JERVIS INLET,BC,-123.854,50.165,18,2412
366,MERRY ISLAND LIGHTSTATION,BC,-123.913,49.4675,7,1010
372,PORT MELLON,BC,-123.483,49.5167,8,3306
375,POWELL RIVER,BC,-124.554,49.8761,52,1101
376,POWELL RIVER A,BC,-124.5,49.8342,130,1228
395,SQUAMISH AIRPORT,BC,-123.161,49.7832,54,2410
396,STILLWATER POWER HOUSE,BC,-124.317,49.7667,7,1422
402,WHISTLER,BC,-122.955,50.1289,658,1266
404,WOODFIBRE,BC,-123.889,49.5811,4,2882
409,CAPE ST JAMES,BC,-131.017,51.9333,92,1541
417,LANGARA,BC,-133.058,54.2552,43,1875
432,SANDSPIT A,BC,-131.813,53.2539,6,1363
439,TLELL,BC,-131.95,53.5,5,1238
440,SEWALL MASSET INLET,BC,-132.299,53.7637,3,1488
441,ADDENBROKE ISLAND,BC,-127.864,51.6035,21,3258
449,BELLA COOLA,BC,-126.685,52.3706,18,1657
450,BELLA COOLA A,BC,-126.596,52.3875,36,1230
455,BOAT BLUFF,BC,-128.524,52.6431,11,5011
456,BONILLA ISLAND,BC,-130.638,53.4928,16,2126
462,DRYAD POINT,BC,-128.112,52.185,4,2606
464,EGG ISLAND,BC,-127.835,51.2472,14,2559
465,ETHELDA BAY,BC,-129.683,53.05,10,3283
466,FALLS RIVER,BC,-129.733,53.9833,18,3683
469,GREEN ISLAND,BC,-130.708,54.5686,12,2322
474,IVORY ISLAND,BC,-128.407,52.2697,10,2748
475,KEMANO,BC,-127.943,53.5631,66,1951
