ilocy,ilocx,HDD (degC-day),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,3556.0,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,1.1753677286709947,3008.439119958349
552,1017,3461.0,-4.547676802314419,10.753981582871328,41.95,-82.5167,POINT PELEE,1.139704279037436,3019.692065936476
553,1007,3362.0,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,1.083905697361094,3084.320123853041
557,1013,3399.0,-4.315023156750626,10.546375569046994,42.2167,-82.7333,WOODSLEE CDA AUTOMATIC CLIMATE STATION,1.108973207409825,3047.7781291050305
558,1009,3379.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.0720162192104548,3134.2964666624152
559,1009,3165.0,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,0.9987220718622186,3151.2459742040187
563,1021,3442.0,-4.073694737965422,10.891632910569474,42.39,-82.2153,CHATHAM WPCP,1.0992448637498369,3113.6490371927493
565,1026,3590.0,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN AUTOMATIC CLIMATE STATION,1.1309663597941493,3156.4433469204632
567,1020,3768.0,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,1.1807963615178623,3173.139207765291
567,1030,3652.0,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,1.1564652274479832,3140.157470703125
570,1015,3578.0,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,1.1029225191284644,3225.882685971426
572,1036,3868.0,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,1.1738594100493316,3276.601434844952
574,1019,3602.0,-3.582520318627976,10.833443896759782,42.8833,-82.1667,PETROLIA TOWN,1.0910323300333369,3282.9126387045285
574,1035,3663.0,-3.557698000558396,11.54904445218576,42.7683,-81.205,ST THOMAS WPCP,1.0930654017943406,3332.299347483635
576,1017,3771.0,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.1340084909120154,3306.689859074886
577,1027,3727.0,-3.4287712141454625,11.19222001370236,42.9653,-81.6464,STRATHROY,1.0998049807169712,3369.744305285273
578,1041,3902.0,-3.385613864490602,11.782121626831206,42.8895,-80.8467,CULLODEN EASEY,1.1399147025245935,3403.8322388274164
578,1043,3703.0,-3.3978654581494028,11.864307220593831,42.8606,-80.7406,TILLSONBURG NORTH,1.084148340902755,3396.3953683239415
579,1046,3888.0,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.144407630252258,3378.3041674168817
580,1030,3845.0,-3.31504942834024,11.32856354313463,43.05,-81.4333,ILDERTON BEAR CREEK,1.1119259216321424,3438.5371972856474
580,1035,3870.5,-3.290192648996729,11.534742415363127,43.033199999999994,-81.15055000000001,LONDON CS,1.1137441870151867,3455.690657737441
581,1023,3640.0,-3.252190168365689,11.000990223356801,43.1756,-81.8558,THEDFORD,1.0921773323719817,3314.068359375
581,1041,3901.0,-3.2495454340222203,11.802818962203162,43.0184,-80.7808,FOLDENS,1.1179897395185978,3469.695557023041
581,1061,3774.0,-3.24842961664734,12.676476148716175,42.8333,-79.6167,DUNNVILLE PUMPING STN,1.129774481734133,3321.722683210118
582,1053,3778.0,-3.190046906051618,12.32513408556721,42.9667,-80.0667,HAGERSVILLE,1.1042685023702066,3402.0485440550606
584,1041,3920.0,-3.13284052569434,11.785799537197978,43.1361,-80.7706,WOODSTOCK,1.103811499258665,3531.3794899694412
584,1067,3523.0,-3.1397794599579134,12.927767317025122,42.8833,-79.25,PORT COLBORNE,1.0446783004171585,3353.3841462394507
585,1071,3692.0,-3.092690736879672,13.130240887970073,42.8833,-78.9667,FORT ERIE,1.07408181539778,3418.0433458707503
586,1026,3772.0,-3.030893850334344,11.134815531368883,43.3667,-81.6167,DASHWOOD,1.0589952850903113,3541.85595703125
586,1028,3824.0,-3.0305882642868083,11.22141346027362,43.35,-81.5,EXETER,1.0735943717352467,3541.85595703125
586,1050,3937.0,-3.0533645399212452,12.1703238324863,43.1333,-80.2333,BRANTFORD MOE,1.1260519112432674,3476.6441436064997
586,1053,3844.0,-3.0383087763253003,12.316670694692613,43.1167,-80.0333,MIDDLEPORT TS,1.1122602581197225,3436.6095815186973
586,1066,3730.0,-3.0352088239803825,12.895229197324136,42.9925,-79.2611,WELLAND,1.1163423364810394,3322.4975846314137
587,1054,3907.0,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.1282401113911955,3443.460558217343
587,1065,3731.0,-2.9977565306147875,12.83857535440109,43.0417,-79.325,RIDGEVILLE,1.1268842836829307,3292.298199790564
588,1030,4137.0,-2.9411848050342453,11.327074768748721,43.4167,-81.3333,CROMARTY,1.1585580489444782,3550.7570627804403
588,1036,4057.0,-2.9399160855948936,11.570910546325573,43.3689,-81.0047,STRATFORD WWTP,1.1169745040518004,3611.7275760303974
589,1051,3952.0,-2.921194219220219,12.228510396755627,43.25,-80.1167,COPETOWN,1.1152756661783283,3523.610916312861
589,1060,3438.0,-2.8973514657298165,12.640676415959707,43.1836,-79.5583,GRIMSBY MOUNTAIN,1.0050606316135435,3401.471589150929
589,1062,3527.0,-2.8908901203189035,12.745247858010568,43.1667,-79.4167,VINELAND RITTENHOUSE,1.0405154260492757,3370.622953377898
589,1063,3393.0,-2.9071695462038596,12.748976914625931,43.15,-79.4167,VINELAND,1.0055851715747068,3355.1986354913824
590,1045,4188.0,-2.8750681306212913,11.952354474205725,43.3536,-80.4736,ROSEVILLE,1.1472259426528684,3630.0361595203776
590,1054,3696.0,-2.849872870422637,12.377668358906202,43.287499999999994,-79.89580000000001,HAMILTON RBG,1.0489357362400844,3503.775877692238
590,1065,3517.0,-2.8502163436945627,12.848272183585957,43.1833,-79.2667,PORT DALHOUSIE,1.0645371667620116,3285.222412109375
590,1068,3569.0,-2.8686918482263937,12.990070953040247,43.1333,-79.0833,NIAGARA FALLS,1.0802766983717995,3285.222412109375
591,1045,4071.0,-2.821007126714072,11.98306561318483,43.4,-80.4167,PRESTON,1.108402061765233,3652.2207104355602
591,1053,3937.0,-2.8325470237412183,12.320899701268427,43.3167,-79.9667,MILLGROVE,1.106794526211709,3537.135113976854
591,1066,3570.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,1.0805793816719877,3285.222412109375
592,1046,4158.0,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.129998157727205,3658.97959023171
592,1067,3594.0,-2.763299215491138,12.928027217189955,43.25,-79.1333,NIAGARA ON THE LAKE,1.0797116839931251,3309.9658203125
594,1023,4001.0,-2.6644143539380045,11.012430916195237,43.75,-81.6833,SALTFORD,1.1186662901197908,3556.4870983409646
595,1023,3736.0,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,1.0411112863682832,3568.3130679607198
595,1028,4175.0,-2.6528716485811477,11.23121942537366,43.7183,-81.3836,BLYTH,1.1391209195793686,3644.5162388928966
595,1048,4238.0,-2.643659519903253,12.093245084716763,43.55,-80.2167,GUELPH ARBORETUM,1.1409388648407779,3693.6166195332025
596,1039,4285.0,-2.58781526238027,11.715347118043752,43.6839,-80.7103,GLEN ALLAN,1.132674303424292,3761.828702530353
596,1044,4268.0,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA AUTOMATIC CLIMATE STATION,1.1261113512674645,3768.741170326528
598,1044,4255.0,-2.5203148049109165,11.946180500656526,43.7017,-80.3789,FERGUS MOE,1.114741299316727,3795.5849029609008
598,1045,4253.0,-2.4806352869286536,11.973562357271483,43.7347,-80.3303,FERGUS SHAND DAM,1.1187641110054178,3780.159231841866
598,1053,4263.0,-2.5031706747586946,12.31280182233183,43.64,-79.8792,GEORGETOWN WWTP,1.1561917545507714,3666.390359039562
599,1025,4203.0,-2.442376887557362,11.10292505991431,43.95,-81.5,LUCKNOW,1.15483167490342,3619.044641066444
599,1061,3698.0,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,1.0284427167525727,3575.5267978577535
600,1057,3827.0,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.0462362126770108,3637.3236949170396
600,1060,3488.0,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,0.9658734329960845,3590.951115744269
602,1044,4559.0,-2.3358602778749833,11.939964180370309,43.8833,-80.3333,GRAND VALLEY WPCP,1.1777257956910072,3849.272368229647
602,1056,4209.0,-2.3191600885020183,12.478488442384476,43.7833,-79.6,WOODBRIDGE,1.1355125359571192,3685.871836398958
603,1043,4691.0,-2.2644885750578165,11.875340169110592,43.9667,-80.4,MONTICELLO,1.2028111288705248,3878.119905665869
