ilocy,ilocx,annual_pr (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,901.0,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,1.0699495333425766,932.2408447265625
553,1007,938.0,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,1.1016285490884155,942.6148681640625
553,1015,862.0,-4.477660518786257,10.621608106478561,42.0431,-82.6739,KINGSVILLE MOE,1.0238509510511227,932.0455932617188
558,1009,927.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.097471498923943,935.08935546875
563,1021,870.0,-4.073694737965422,10.891632910569474,42.39,-82.2153,CHATHAM WPCP,1.0745951681784887,896.2744140625
566,1017,828.0,-3.9093526483320606,10.721195665538803,42.5833,-82.4,WALLACEBURG,0.9947150591148638,921.5062255859375
567,1020,828.0,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,0.9988560427783222,917.6859130859375
567,1030,908.0,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,1.1110378073985243,904.7396850585938
570,1015,859.0,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,1.0227211978909305,929.8278198242188
572,1036,976.0,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,1.1914877075891428,906.8320922851562
574,1019,920.0,-3.582520318627976,10.833443896759782,42.8833,-82.1667,PETROLIA TOWN,1.078540049281778,944.3178100585938
574,1035,982.0,-3.557698000558396,11.54904445218576,42.7683,-81.205,ST THOMAS WPCP,1.198251026825311,907.2569580078125
575,1048,1015.0,-3.5104397352159835,12.106846549725875,42.7,-80.45,ST WILLIAMS,1.202683100721311,934.2894897460938
576,1017,843.0,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.0094272999001817,924.5260620117188
577,1027,949.0,-3.444290971925007,11.192629365271387,42.95,-81.65,STRATHROY,1.1136585292596402,943.3672485351562
577,1035,953.0,-3.414050347955547,11.510743923891901,42.9167,-81.2167,WESTMINSTER TWP WPCP,1.1601645212443135,909.3685913085938
578,1041,1042.0,-3.385613864490602,11.782121626831206,42.8895,-80.8467,CULLODEN EASEY,1.2540086109857231,919.8856201171875
578,1043,981.0,-3.4001841550206433,11.87898434694812,42.8553,-80.7217,TILLSONBURG WWTP,1.16767112005773,930.06884765625
579,1046,964.0,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.1756484195786854,907.7498779296875
580,1030,1009.0,-3.31504942834024,11.32856354313463,43.05,-81.4333,ILDERTON BEAR CREEK,1.20392531898323,927.8082885742188
580,1033,1008.0,-3.309585989467952,11.4395075442526,43.0333,-81.2833,LONDON SHARON DRIVE,1.2262498929547994,910.0142211914062
580,1035,961.0,-3.290371679059054,11.534368202439223,43.0331,-81.1511,LONDON INT'L AIRPORT,1.1670156993262097,911.618896484375
580,1037,1090.0,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,DORCHESTER,1.3213443584003335,913.2235717773438
580,1051,939.0,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,WATERFORD,1.145560219114304,907.4324340820312
581,1023,973.0,-3.252190168365689,11.000990223356801,43.1756,-81.8558,THEDFORD,1.1466230381413047,939.4178466796875
581,1041,953.0,-3.2495454340222203,11.802818962203162,43.0184,-80.7808,FOLDENS,1.1267412289549896,936.3438110351562
581,1061,899.0,-3.24842961664734,12.676476148716175,42.8333,-79.6167,DUNNVILLE PUMPING STN,1.0905457597024355,912.6041259765625
582,1047,970.0,-3.212954202677389,12.059352867936015,43.0008,-80.4278,SCOTLAND,1.1736697783769967,914.9396362304688
582,1053,908.0,-3.190046906051618,12.32513408556721,42.9667,-80.0667,HAGERSVILLE,1.1170895659701516,899.8383178710938
584,1041,941.0,-3.13284052569434,11.785799537197978,43.1361,-80.7706,WOODSTOCK,1.0933359286843782,952.8019409179688
584,1067,979.0,-3.1397794599579134,12.927767317025122,42.8833,-79.25,PORT COLBORNE,1.160877638169311,933.6043701171875
585,1071,1030.0,-3.092690736879672,13.130240887970073,42.8833,-78.9667,FORT ERIE,1.1603079378771957,982.7218017578125
586,1028,984.0,-3.0305882642868083,11.22141346027362,43.35,-81.5,EXETER,1.2059395191879774,903.3087158203125
586,1050,843.0,-3.0533645399212452,12.1703238324863,43.1333,-80.2333,BRANTFORD MOE,1.0274397060360323,908.31787109375
586,1066,974.0,-3.0352088239803825,12.895229197324136,42.9925,-79.2611,WELLAND,1.1970476215037957,900.7705078125
587,1054,895.0,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.1183589673724725,885.9484252929688
587,1065,849.0,-2.9977565306147875,12.83857535440109,43.0417,-79.325,RIDGEVILLE,1.0767028834011048,872.9280395507812
588,1036,1044.0,-2.9399160855948936,11.570910546325573,43.3689,-81.0047,STRATFORD WWTP,1.2415496351326802,930.9000244140625
589,1054,904.0,-2.9034451403663266,12.386459465933243,43.2333,-79.9,HAMILTON PSYCH HOSPITAL,1.1175876056973961,895.4750366210938
589,1062,869.0,-2.8908901203189035,12.745247858010568,43.1667,-79.4167,VINELAND RITTENHOUSE,1.0880610092203762,884.1646728515625
589,1065,850.0,-2.9123686280230396,12.875159428198218,43.1167,-79.25,ST CATHARINES POWER GLEN,1.0750359062728052,875.3114013671875
590,1026,1000.0,-2.8416567006985223,11.146331813295236,43.55,-81.55,BRUCEFIELD,1.2684412697529837,872.7628784179688
590,1045,924.0,-2.8750681306212913,11.952354474205725,43.3536,-80.4736,ROSEVILLE,1.0657881048438556,959.771240234375
590,1047,936.0,-2.8613921690428836,12.072490087425287,43.34165,-80.30834999999999,CAMBRIDGE GALT MOE,1.090122836396542,950.5326538085938
