ilocy,ilocx,annual_rain (mm),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,793.0,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,1.0393631712314464,884.8907470703125
553,1007,850.0,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,1.1044378259116745,892.609375
553,1015,773.0,-4.477660518786257,10.621608106478561,42.0431,-82.6739,KINGSVILLE MOE,1.0171782920995485,881.3861083984375
558,1009,814.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.086142085502096,869.2036743164062
563,1021,792.0,-4.073694737965422,10.891632910569474,42.39,-82.2153,CHATHAM WPCP,1.089275230747668,843.2791137695312
566,1017,739.0,-3.9093526483320606,10.721195665538803,42.5833,-82.4,WALLACEBURG,1.0005541059601044,856.618896484375
567,1020,743.0,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,1.022147167975399,843.0613403320312
567,1030,824.0,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,1.1312988403024975,844.7606201171875
570,1015,750.0,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,1.0205249286643285,852.3568115234375
572,1036,880.0,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,1.2123467348604322,841.8594970703125
574,1019,794.0,-3.582520318627976,10.833443896759782,42.8833,-82.1667,PETROLIA TOWN,1.0565643030952865,871.5822143554688
574,1035,860.0,-3.557698000558396,11.54904445218576,42.7683,-81.205,ST THOMAS WPCP,1.1892780380337638,838.6849365234375
575,1048,875.0,-3.5104397352159835,12.106846549725875,42.7,-80.45,ST WILLIAMS,1.1937512999680655,850.1156005859375
576,1017,731.0,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,0.9869028436656276,859.0664672851562
577,1027,767.0,-3.444290971925007,11.192629365271387,42.95,-81.65,STRATHROY,1.0209789086665475,871.289306640625
577,1035,813.0,-3.414050347955547,11.510743923891901,42.9167,-81.2167,WESTMINSTER TWP WPCP,1.116845004049344,844.2701416015625
578,1041,895.0,-3.385613864490602,11.782121626831206,42.8895,-80.8467,CULLODEN EASEY,1.216581086609358,853.2293090820312
578,1043,859.0,-3.4001841550206433,11.87898434694812,42.8553,-80.7217,TILLSONBURG WWTP,1.1658037869853541,854.5775756835938
579,1046,840.0,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.166479533064775,835.1912841796875
580,1030,824.0,-3.31504942834024,11.32856354313463,43.05,-81.4333,ILDERTON BEAR CREEK,1.129846344239618,845.8466186523438
580,1033,805.0,-3.309585989467952,11.4395075442526,43.0333,-81.2833,LONDON SHARON DRIVE,1.1300837867119713,826.1692504882812
580,1035,792.0,-3.290371679059054,11.534368202439223,43.0331,-81.1511,LONDON INT'L AIRPORT,1.0953289069227485,838.6184692382812
580,1037,878.0,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,DORCHESTER,1.1965040503393094,851.0677490234375
580,1051,808.0,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,WATERFORD,1.1331074211220733,827.0353393554688
581,1023,798.0,-3.252190168365689,11.000990223356801,43.1756,-81.8558,THEDFORD,1.0644067368973096,869.5189819335938
581,1041,829.0,-3.2495454340222203,11.802818962203162,43.0184,-80.7808,FOLDENS,1.113591628635569,863.400634765625
581,1061,795.0,-3.24842961664734,12.676476148716175,42.8333,-79.6167,DUNNVILLE PUMPING STN,1.1197788313004309,823.414794921875
582,1047,842.0,-3.212954202677389,12.059352867936015,43.0008,-80.4278,SCOTLAND,1.1656572725345178,837.7703857421875
582,1053,811.0,-3.190046906051618,12.32513408556721,42.9667,-80.0667,HAGERSVILLE,1.149016537222533,818.6124877929688
584,1041,817.0,-3.13284052569434,11.785799537197978,43.1361,-80.7706,WOODSTOCK,1.0912575470513162,868.3175659179688
584,1067,829.0,-3.1397794599579134,12.927767317025122,42.8833,-79.25,PORT COLBORNE,1.1414446263732543,842.3323364257812
585,1071,857.0,-3.092690736879672,13.130240887970073,42.8833,-78.9667,FORT ERIE,1.1226864863155255,885.3319091796875
586,1028,785.0,-3.0305882642868083,11.22141346027362,43.35,-81.5,EXETER,1.1233667258622149,810.4605712890625
586,1038,846.0,-3.0457259145980236,11.64611837890727,43.25,-80.9333,EMBRO INNES,1.1598413281105673,845.97119140625
586,1050,739.0,-3.0533645399212452,12.1703238324863,43.1333,-80.2333,BRANTFORD MOE,1.0335460581631761,829.274658203125
586,1066,825.0,-3.0352088239803825,12.895229197324136,42.9925,-79.2611,WELLAND,1.1660061603955905,820.6101684570312
587,1054,754.0,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.0782286016556013,811.0437622070312
587,1065,734.0,-2.9977565306147875,12.83857535440109,43.0417,-79.325,RIDGEVILLE,1.06645063514401,798.2503051757812
588,1036,805.0,-2.9399160855948936,11.570910546325573,43.3689,-81.0047,STRATFORD WWTP,1.1245292459150493,830.2500610351562
589,1054,788.0,-2.9034451403663266,12.386459465933243,43.2333,-79.9,HAMILTON PSYCH HOSPITAL,1.1156420607941655,819.19091796875
589,1062,756.0,-2.8908901203189035,12.745247858010568,43.1667,-79.4167,VINELAND RITTENHOUSE,1.0847072700958598,808.3380737304688
589,1065,733.0,-2.9123686280230396,12.875159428198218,43.1167,-79.25,ST CATHARINES POWER GLEN,1.0627705123485878,799.9231567382812
590,1026,794.0,-2.8416567006985223,11.146331813295236,43.55,-81.55,BRUCEFIELD,1.1778329888737529,781.8448486328125
590,1045,784.0,-2.8750681306212913,11.952354474205725,43.3536,-80.4736,ROSEVILLE,1.049943335657539,866.0321044921875
590,1047,801.0,-2.8613921690428836,12.072490087425287,43.34165,-80.30834999999999,CAMBRIDGE GALT MOE,1.0770808152887135,862.5177001953125
590,1054,746.0,-2.851997203751697,12.387474338992014,43.2833,-79.8833,HAMILTON RBG,1.050952887415208,823.2644653320312
