ilocy,ilocx,mean RH (%),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,75.0,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,1.020258659529914,82.04344940185547
558,1009,71.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9686862638548898,81.80279541015625
560,1026,76.0,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),1.030773411076787,82.28929138183594
565,1026,79.0,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN RCS,1.0694325964884095,82.4454345703125
576,1017,75.0,-3.4904329491985364,10.714451499966426,42.9961,-82.30235,SARNIA AIRPORT COMPOSITE,1.0188411914742754,82.1575927734375
579,1046,77.0,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CS,1.0331015097567882,83.18416595458984
580,1035,75.0,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,1.005292019822634,83.26490020751953
587,1054,75.0,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.0092566572327513,82.93781280517578
590,1054,75.0,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,1.0103082460315633,82.85148620605469
590,1063,72.0,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,0.9750654327916527,82.4122314453125
591,1056,69.0,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.9307414295869576,82.73951721191406
591,1066,71.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.9637586443162434,82.2210464477539
592,1046,76.0,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.0161124544525015,83.47660064697266
592,1065,76.0,-2.777024958427152,12.868782847614893,43.25,-79.2167,PORT WELLER (AUT),1.0308299901074944,82.28477478027344
595,1023,79.0,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,1.0629807135659122,82.94584655761719
596,1044,80.0,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA RCS,1.0642344321608423,83.89684295654297
599,1061,72.0,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9727272534933348,82.6103286743164
