ilocy,ilocx,RL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals
558,1009,0.402,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.1799443848222329,0.28575465083122253
559,1009,0.484,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,1.4176727754467078,0.28635063767433167
576,1017,0.389,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.1401216845662485,0.2861720323562622
577,1048,0.47,-3.434479081735439,12.106219211616422,42.774390000000004,-80.42905999999999,HAGERSVILLE 2 composite,1.2281275083271108,0.3209838569164276
579,1046,0.5870000000000001,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.552705153466693,0.3170866072177887
579,1050,0.446,-3.335374154899144,12.206799132067156,42.85,-80.2667,SIMCOE,1.1645985628794997,0.32120877504348755
580,1035,0.45799999999999996,-3.290371679059054,11.534368202439223,43.0331,-81.1511,LONDON INT'L AIRPORT,1.2044931526681433,0.31892600655555725
580,1037,0.491,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,DORCHESTER,1.2909516524059101,0.3190070688724518
580,1051,0.34,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,WATERFORD,0.8777625320382543,0.324885755777359
587,1054,0.423,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.1009982401989784,0.32224228978157043
590,1054,0.397,-2.851997203751697,12.387474338992014,43.2833,-79.8833,HAMILTON RBG,1.0334598333791751,0.32220011949539185
591,1066,0.309,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.8377981392057596,0.3093484044075012
592,1046,0.467,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.1946064939041448,0.3278844356536865
594,1044,0.41700000000000004,-2.666314502571736,11.94129167027309,43.56001071,-80.42801786,GUELPH OAC composite,1.063077922540385,0.32900291681289673
598,1059,0.406,-2.4868552600065392,12.60189887608841,43.59246944,-79.48505417,TORONTO NEW INT'L A composite,1.059475333414792,0.32141339778900146
599,1061,0.396,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,1.0339527104858062,0.321235328912735
600,1057,0.373,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9662265584837301,0.3237864375114441
600,1060,0.436,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,1.1357878004168225,0.32197198271751404
602,1053,0.494,-2.327916851748337,12.32637283896129,43.8081,-79.8081,SANDHILL,1.2722350926127313,0.3256779611110687
603,1037,0.401,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST,1.037340813119499,0.3242288827896118
603,1059,0.376,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,0.9737672032871553,0.32386311888694763
605,1058,0.415,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.0705022398898272,0.3251541554927826
605,1060,0.41200000000000003,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.065024257121049,0.32446399331092834
608,1038,0.258,-2.068590235243496,11.658569176059126,44.2036,-80.6378,PRICEVILLE,0.6764889565366637,0.31988051533699036
609,1050,0.365,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,0.9435610115894735,0.3244529068470001
611,1027,0.36,-1.9374790458624405,11.156459894997607,44.43423333,-81.2871,WALKERTON composite,1.0071031760739004,0.2998177409172058
611,1053,0.35700000000000004,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9256562132281518,0.32347989082336426
616,1053,0.442,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,1.139629819937289,0.325302392244339
616,1086,0.493,-1.7037724583668714,13.763648867181702,44.0833,-77.6667,SMITHFIELD CDA,1.0721438720476535,0.3856760263442993
617,1071,0.49,-1.6437599584267275,13.111996013499192,44.29722,-78.52882667,HALIBURTON A composite,1.1100522449317556,0.37023839354515076
617,1074,0.37799999999999995,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,0.846069102320134,0.374726802110672
617,1087,0.444,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.9533384781385335,0.3906291425228119
618,1028,0.348,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9123862618141536,0.31991109251976013
619,1089,0.441,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,BELLEVILLE,0.9234778239311154,0.4005354046821594
623,1084,0.499,-1.39563263390509,13.715114449914411,44.39395238,-77.62724286,STIRLING composite,1.038650928671001,0.402957946062088
623,1102,0.516,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.056483592093714,0.40965262055397034
627,1099,0.48,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,HARTINGTON IHD,0.9725387623117295,0.41396450996398926
629,1055,0.46799999999999997,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.0922522946278799,0.3593781590461731
633,1067,0.502,-0.929498972966488,12.938661086656456,45.0322,-78.5311,HALIBURTON 3,1.1294441838367286,0.3727929890155792
637,1052,0.48,-0.7779930357615851,12.262381226920443,45.33400909,-79.41611818,BURKS FALLS composite,1.0963797170772076,0.3672053813934326
639,1000,0.371,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,0.8556774999880117,0.36365753412246704
640,1059,0.469,-0.6480473584073168,12.604555155685231,45.3833,-78.9,DWIGHT,1.1170041900158167,0.3521655201911926
642,1043,0.59,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,DUNCHURCH,1.298900929820958,0.38098227977752686
647,968,0.355,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,0.956072598325203,0.31143417954444885
651,1109,0.46,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,1.0473618537338691,0.368374764919281
652,1108,0.491,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA,1.1210010550471987,0.36737048625946045
652,1134,0.41200000000000003,-0.11059958944123897,15.91164378309388,45.05,-74.1667,HUNTINGDON,0.9148635048703434,0.3777197599411011
653,1111,0.506,-0.08342891017602053,14.878650645037006,45.36306667,-75.56446667,OTTAWA ROCKCLIFFE A composite,1.1374796574498454,0.37310895323753357
653,1131,0.42700000000000005,-0.06763698819223248,15.76386408140092,45.1333,-74.35,ST ANICET,0.9559299257187299,0.37465420365333557
654,1102,0.425,-0.010141822987990141,14.504972791199682,45.5333,-76.05,LUSKVILLE,0.9928655317723671,0.3590271472930908
654,1135,0.348,-0.02306995179155099,15.971452536902286,45.1167,-74.05,ORMSTOWN,0.7750755094886299,0.37658587098121643
