ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals
558,1009,1.0,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,1.1788737795661344,0.614798903465271
559,1009,1.2,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,1.3969296848727104,0.6225970983505249
576,1017,1.5,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,1.4708930857376783,0.7391124963760376
577,1048,1.4,-3.434479081735439,12.106219211616422,42.774390000000004,-80.42905999999999,HAGERSVILLE 2 composite,1.211404715793586,0.837604820728302
579,1046,1.5,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,1.3632864390121913,0.7974519729614258
579,1050,1.6,-3.335374154899144,12.206799132067156,42.85,-80.2667,SIMCOE,1.395547824189539,0.830951452255249
580,1035,1.7,-3.290371679059054,11.534368202439223,43.0331,-81.1511,LONDON INT'L AIRPORT,1.4713537120686364,0.8373985886573792
580,1037,1.5,-3.3033197995587598,11.625518178228763,43.001999999999995,-81.0328,DORCHESTER,1.3048093558278648,0.8331910371780396
580,1051,1.3,-3.2976268496041468,12.223659162002475,42.8833,-80.2333,WATERFORD,1.0985339937963379,0.8576897978782654
587,1054,1.8,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,1.5451956650247074,0.8442856669425964
590,1054,1.4,-2.851997203751697,12.387474338992014,43.2833,-79.8833,HAMILTON RBG,1.1631259739581399,0.8723719120025635
591,1066,1.0,-2.817509219258394,12.915619247015943,43.2,-79.1667,ST CATHARINES A,0.8824503835761788,0.8213156461715698
592,1046,1.7,-2.767016061611644,11.996249233882299,43.45,-80.3833,WATERLOO WELLINGTON A,1.2276180941315777,1.003658652305603
594,1044,2.2,-2.666314502571736,11.94129167027309,43.56001071,-80.42801786,GUELPH OAC composite,1.5130378841210481,1.0538365840911865
598,1059,1.8,-2.4868552600065392,12.60189887608841,43.59246944,-79.48505417,TORONTO NEW INT'L A composite,1.4721652760352217,0.8861685395240784
599,1061,1.1,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.9172706926298474,0.8691516518592834
600,1057,1.4,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,1.126820287603735,0.9004793763160706
600,1060,1.3,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO,1.0800503438720601,0.8723680377006531
602,1053,1.5,-2.327916851748337,12.32637283896129,43.8081,-79.8081,SANDHILL,1.0737524478901321,1.0124824047088623
603,1037,2.3,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST,1.3420139702311795,1.242141842842102
603,1059,1.6,-2.3012399580428746,12.57237144415825,43.78,-79.4678,TORONTO NORTH YORK,1.293493850365071,0.8965117931365967
605,1058,1.8,-2.2032653790882666,12.564815949223863,43.8772,-79.4478,RICHMOND HILL,1.3760148016459604,0.9480904936790466
605,1060,1.5,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,1.2011473670109167,0.905097484588623
608,1038,2.6,-2.068590235243496,11.658569176059126,44.2036,-80.6378,PRICEVILLE,1.4518852112434066,1.297900676727295
609,1050,1.7,-2.0028898354841,12.2065379573681,44.1514,-79.8722,ALLISTON NELSON,1.0804218449147795,1.1403967142105103
611,1027,3.1,-1.9374790458624405,11.156459894997607,44.43423333,-81.2871,WALKERTON composite,1.8272623302016722,1.2295924425125122
611,1053,1.5,-1.9211289341184725,12.318754222071837,44.2067,-79.6947,COOKSTOWN,0.9898245735385446,1.0983314514160156
616,1053,3.0,-1.7233069520001558,12.319592020167152,44.3995,-79.6328,SHANTY BAY,1.8329122718053537,1.1862602233886719
616,1086,1.2,-1.7037724583668714,13.763648867181702,44.0833,-77.6667,SMITHFIELD CDA,0.7655728477093506,1.136043906211853
617,1071,2.8,-1.6437599584267275,13.111996013499192,44.29722,-78.52882667,HALIBURTON A composite,1.652605645623103,1.2279740571975708
617,1074,2.3,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,1.3764808094541083,1.2110388278961182
617,1087,1.4,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,0.8688639423459731,1.167822003364563
618,1028,3.3,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,1.5633594637616235,1.5298733711242676
619,1089,1.8,-1.5905322191931184,13.936456970299941,44.1506,-77.3947,BELLEVILLE,1.059452474769582,1.2313780784606934
623,1084,2.9,-1.39563263390509,13.715114449914411,44.39395238,-77.62724286,STIRLING composite,1.548137203192231,1.3576534986495972
623,1102,2.0,-1.3803565049833204,14.473210899310928,44.2186,-76.5967,KINGSTON A,1.1400904628464243,1.2714259624481201
627,1099,2.3,-1.1950455367128394,14.354715693013972,44.4281,-76.6903,HARTINGTON IHD,1.1998555212364472,1.389310359954834
629,1055,3.4,-1.1177117079756498,12.424309244301325,44.9667,-79.3,MUSKOKA A,1.4116944891358136,1.7455753087997437
633,1067,2.4,-0.929498972966488,12.938661086656456,45.0322,-78.5311,HALIBURTON 3,0.9609911149158402,1.8100570440292358
637,1052,3.3,-0.7779930357615851,12.262381226920443,45.33400909,-79.41611818,BURKS FALLS composite,1.1983109525149687,1.9959276914596558
637,1111,2.0,-0.7598144491788071,14.912663873584123,44.7023375,-75.7747875,SOUTH MOUNTAIN composite,1.0536168750696016,1.3757758140563965
639,1000,3.3,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,1.4661255865200964,1.6313350200653076
640,1059,3.5,-0.6480473584073168,12.604555155685231,45.3833,-78.9,DWIGHT,1.2869240095994334,1.9711312055587769
642,1043,3.0,-0.5742533922365206,11.880619147076752,45.6167,-79.8833,DUNCHURCH,1.074829515062549,2.022935628890991
647,968,3.7,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,1.516763683351712,1.7680078744888306
651,1109,3.1,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,1.5380626986976118,1.4607908725738525
652,1108,2.1,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA,1.0264837691126383,1.4827488660812378
652,1134,1.9,-0.11059958944123897,15.91164378309388,45.05,-74.1667,HUNTINGDON,0.8873711356960778,1.5518462657928467
653,1111,3.2,-0.08342891017602053,14.878650645037006,45.36306667,-75.56446667,OTTAWA ROCKCLIFFE A composite,1.5910876725053766,1.4576600790023804
653,1131,3.4,-0.06763698819223248,15.76386408140092,45.1333,-74.35,ST ANICET,1.6167190052656655,1.5242098569869995
654,1102,1.4,-0.010141822987990141,14.504972791199682,45.5333,-76.05,LUSKVILLE,0.6454199519925435,1.572121262550354
654,1135,1.6,-0.02306995179155099,15.971452536902286,45.1167,-74.05,ORMSTOWN,0.7668509692713078,1.5122005939483643
654,1141,3.1,-0.002819591108613995,16.211153361252567,45.0667,-73.7167,HEMMINGFORD FOUR WINDS,1.4580902569054408,1.5409114360809326
655,1050,2.8,0.0108004267438218,12.200271604969695,46.1167,-79.25,POWASSAN,1.012454642876034,2.0043928623199463
656,1096,2.6,0.06457777123853113,14.206951891737853,45.6833,-76.4333,CHARTERIS,1.1495603050550998,1.639237880706787
656,1146,2.2,0.08212766041682308,16.43136179542141,45.0833,-73.3833,ST BERNARD DE LACOLLE,1.057087956821847,1.508384108543396
657,1110,2.8,0.09932157620079315,14.83803900373631,45.55,-75.55,ANGERS,1.2700915612520145,1.5978035926818848
657,1134,2.1,0.12639370122986404,15.889859305178064,45.2833,-74.1,VALLEYFIELD,1.0330835875388773,1.4732763767242432
