ilocy,ilocx,Tmax (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,301.15,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,0.994079555253908,305.06561279296875
552,1017,300.15,-4.547676802314419,10.753981582871328,41.95,-82.5167,POINT PELEE,0.9913454680636709,304.89117431640625
553,1007,300.15,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,0.9905066181026204,305.1493835449219
557,1013,302.15,-4.315023156750626,10.546375569046994,42.2167,-82.7333,WOODSLEE CDA AUTOMATIC CLIMATE STATION,0.9977432109707953,304.9547119140625
558,1009,302.15,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9974702051042494,305.0381774902344
559,1009,301.15,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,0.9942023835893102,305.0279235839844
563,1021,301.15,-4.073694737965422,10.891632910569474,42.39,-82.2153,CHATHAM WPCP,0.9958989226580991,304.50830078125
565,1026,300.15,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN AUTOMATIC CLIMATE STATION,0.9933910792680581,304.2633361816406
567,1020,301.15,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,0.9959927511984953,304.4796142578125
567,1030,300.15,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,0.9939678140277312,304.0867919921875
570,1015,302.15,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,0.9986404403110406,304.68072509765625
572,1036,299.15,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,0.992024166265197,303.66748046875
574,1019,301.15,-3.582520318627976,10.833443896759782,42.8833,-82.1667,PETROLIA TOWN,0.9963473630877696,304.3712463378906
574,1035,300.15,-3.557698000558396,11.54904445218576,42.7683,-81.205,ST THOMAS WPCP,0.9953459108470257,303.665771484375
576,1017,301.15,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,0.9960448636192303,304.46368408203125
577,1027,300.65,-3.4287712141454625,11.19222001370236,42.9653,-81.6464,STRATHROY,0.9961930628011791,303.9129638671875
578,1041,300.15,-3.385613864490602,11.782121626831206,42.8895,-80.8467,CULLODEN EASEY,0.9963737743952791,303.3525085449219
578,1043,300.15,-3.3978654581494028,11.864307220593831,42.8606,-80.7406,TILLSONBURG NORTH,0.9964678048603889,303.3238830566406
579,1046,299.15,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CDA,0.993392272765361,303.249267578125
580,1030,300.15,-3.31504942834024,11.32856354313463,43.05,-81.4333,ILDERTON BEAR CREEK,0.9951006988466908,303.7406005859375
580,1035,298.15,-3.290192648996729,11.534742415363127,43.033199999999994,-81.15055000000001,LONDON CS,0.9891169671904856,303.54193115234375
581,1023,301.15,-3.252190168365689,11.000990223356801,43.1756,-81.8558,THEDFORD,0.9974925109661776,304.0218200683594
581,1041,300.15,-3.2495454340222203,11.802818962203162,43.0184,-80.7808,FOLDENS,0.9962812649367656,303.38067626953125
581,1061,299.15,-3.24842961664734,12.676476148716175,42.8333,-79.6167,DUNNVILLE PUMPING STN,0.9941008676275477,303.0331115722656
582,1053,299.15,-3.190046906051618,12.32513408556721,42.9667,-80.0667,HAGERSVILLE,0.9937962170770895,303.1260070800781
584,1041,300.15,-3.13284052569434,11.785799537197978,43.1361,-80.7706,WOODSTOCK,0.99618867245594,303.40887451171875
584,1067,299.15,-3.1397794599579134,12.927767317025122,42.8833,-79.25,PORT COLBORNE,0.9941404138317482,303.02105712890625
585,1071,300.15,-3.092690736879672,13.130240887970073,42.8833,-78.9667,FORT ERIE,0.9968389874167385,303.2109375
586,1026,300.15,-3.030893850334344,11.134815531368883,43.3667,-81.6167,DASHWOOD,0.9955020814541045,303.6181335449219
586,1028,301.15,-3.0305882642868083,11.22141346027362,43.35,-81.5,EXETER,0.9988187633846528,303.6181335449219
586,1050,299.15,-3.0533645399212452,12.1703238324863,43.1333,-80.2333,BRANTFORD MOE,0.9935717519107783,303.1944885253906
586,1053,301.15,-3.0383087763253003,12.316670694692613,43.1167,-80.0333,MIDDLEPORT TS,1.0004853743445545,303.11236572265625
586,1066,300.15,-3.0352088239803825,12.895229197324136,42.9925,-79.2611,WELLAND,0.9971315347961793,303.1219787597656
587,1054,300.15,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.997198096986897,303.10174560546875
587,1065,300.15,-2.9977565306147875,12.83857535440109,43.0417,-79.325,RIDGEVILLE,0.9970790342391901,303.137939453125
588,1030,300.15,-2.9411848050342453,11.327074768748721,43.4167,-81.3333,CROMARTY,0.9956381829224867,303.5766296386719
588,1036,299.15,-2.9399160855948936,11.570910546325573,43.3689,-81.0047,STRATFORD WWTP,0.9930066370630568,303.3670349121094
589,1051,299.15,-2.921194219220219,12.228510396755627,43.25,-80.1167,COPETOWN,0.9936510633537836,303.1702880859375
589,1060,300.15,-2.8973514657298165,12.640676415959707,43.1836,-79.5583,GRIMSBY MOUNTAIN,0.9972641659871584,303.0816650390625
589,1062,301.15,-2.8908901203189035,12.745247858010568,43.1667,-79.4167,VINELAND RITTENHOUSE,1.0004044950060462,303.1368713378906
589,1063,301.15,-2.9071695462038596,12.748976914625931,43.15,-79.4167,VINELAND,1.0003133577500487,303.16448974609375
590,1045,297.15,-2.8750681306212913,11.952354474205725,43.3536,-80.4736,ROSEVILLE,0.9868548203266809,303.2173156738281
590,1054,300.65,-2.849872870422637,12.377668358906202,43.287499999999994,-79.89580000000001,HAMILTON RBG,0.9988466922132752,303.1055603027344
590,1065,301.15,-2.8502163436945627,12.848272183585957,43.1833,-79.2667,PORT DALHOUSIE,1.0001311330448255,303.2197265625
590,1068,301.15,-2.8686918482263937,12.990070953040247,43.1333,-79.0833,NIAGARA FALLS,0.99986315183513,303.3009948730469
591,1045,300.15,-2.821007126714072,11.98306561318483,43.4,-80.4167,PRESTON,0.9969480579100978,303.1777648925781
591,1053,299.15,-2.8325470237412183,12.320899701268427,43.3167,-79.9667,MILLGROVE,0.993820129994086,303.11871337890625
