ilocy,ilocx,Tmin (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
552,1011,255.14999999999998,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA,0.9775592788411895,260.167236328125
552,1017,257.15,-4.547676802314419,10.753981582871328,41.95,-82.5167,POINT PELEE,0.984618207673168,260.3267517089844
553,1007,258.15,-4.47465878931522,10.302673296791056,42.1034,-83.0945,AMHERSTBURG,0.9906768487836082,259.7408447265625
557,1013,258.15,-4.315023156750626,10.546375569046994,42.2167,-82.7333,WOODSLEE CDA AUTOMATIC CLIMATE STATION,0.9898532104811023,259.95697021484375
558,1009,257.15,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9880480731108037,259.4230651855469
559,1009,259.15,-4.227125340313413,10.379271031382924,42.3333,-82.9333,WINDSOR RIVERSIDE,0.9961874840137146,259.30462646484375
563,1021,257.15,-4.073694737965422,10.891632910569474,42.39,-82.2153,CHATHAM WPCP,0.986608452459239,259.8016052246094
565,1026,257.15,-3.96806270606981,11.12134986160888,42.45,-81.8833,RIDGETOWN AUTOMATIC CLIMATE STATION,0.9873415494532167,259.60870361328125
567,1020,254.14999999999998,-3.8794158185025394,10.878279682455496,42.5833,-82.1833,DRESDEN,0.9768042982963776,259.3478698730469
567,1030,257.15,-3.8693765104235194,11.288043481065609,42.5145,-81.6361,NEW GLASGOW,0.9883414093508278,259.3460693359375
570,1015,256.15,-3.7389697267318867,10.650108734817504,42.7639,-82.4517,COURTRIGHT,0.9858781314418409,258.9830017089844
572,1036,257.15,-3.6589521565058734,11.56107030925312,42.6667,-81.2167,PORT STANLEY,0.9908618642537389,258.6863708496094
574,1019,257.15,-3.582520318627976,10.833443896759782,42.8833,-82.1667,PETROLIA TOWN,0.9897820131032318,258.9685974121094
574,1035,257.15,-3.557698000558396,11.54904445218576,42.7683,-81.205,ST THOMAS WPCP,0.9917796245885029,258.4469909667969
576,1017,257.15,-3.4945859613826147,10.7134921602455,42.9922,-82.3047,SARNIA AIRPORT,0.9899647029570549,258.9208068847656
577,1027,256.15,-3.4287712141454625,11.19222001370236,42.9653,-81.6464,STRATHROY,0.9874411460594259,258.57305908203125
578,1041,256.15,-3.385613864490602,11.782121626831206,42.8895,-80.8467,CULLODEN EASEY,0.9898401256535134,257.9463806152344
