ilocy,ilocx,TwJul2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals
549,1019,298.25,-4.65545882600948,10.812370183938118,41.8333,-82.4667,SOUTHEAST SHOAL (AUT),0.9995351536177465,301.7618103027344
552,1011,298.04999999999995,-4.5177895001951045,10.457750487409273,42.0333,-82.9,HARROW CDA AUTO,0.9979545480875244,302.0370788574219
552,1017,299.15,-4.549355282510455,10.75262827580764,41.9486,-82.5189,POINT PELEE CS,1.0023770955484905,301.81427001953125
558,1009,297.65,-4.286848910227873,10.373390404111557,42.2756,-82.9556,WINDSOR A,0.9976007263932946,301.73870849609375
559,1013,299.1975,-4.228625080657744,10.555438857188953,42.3,-82.7,BELLE RIVER,1.0023966888519862,301.8562927246094
560,1026,297.65,-4.166609944802487,11.147744256566659,42.2501,-81.9001,ERIEAU (AUT),0.998499412563394,301.4671325683594
579,1046,297.15,-3.3628448895127754,11.999925006386508,42.8667,-80.55,DELHI CS,0.9982586906148907,301.0332946777344
580,1035,296.65,-3.2901926502243564,11.534742416339043,43.0332,-81.15055,LONDON CS COMPOSITE,0.9959773996792703,301.2151184082031
587,1054,297.04999999999995,-2.9689855230488806,12.37546741076384,43.1717,-79.9342,HAMILTON A,0.998728775344145,300.79034423828125
590,1054,297.95,-2.847748537093577,12.367862378820393,43.2917,-79.9083,HAMILTON RBG CS,1.0022245970203638,300.6493225097656
590,1063,297.04999999999995,-2.87199134716758,12.753426345960174,43.1833,-79.4,VINELAND STATION RCS,0.9989995998393835,300.70880126953125
591,1056,295.75,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.9951057922762359,300.5643005371094
595,1023,296.65,-2.652732378466715,10.985487811987579,43.7667,-81.7167,GODERICH,0.9965031015609846,301.05621337890625
596,1044,296.25,-2.5766172477994584,11.930342238677156,43.65,-80.4167,ELORA RCS,0.9974345657522768,300.3695068359375
599,1061,296.45,-2.4371144169958994,12.657472533066505,43.6286,-79.395,TORONTO ISLAND A,0.997641883555607,300.50982666015625
600,1057,296.84999999999997,-2.4275243009702034,12.480315141272046,43.6772,-79.6306,TORONTO LESTER B. PEARSON INT'L A,0.9992739694783956,300.423828125
600,1060,297.80249999999995,-2.4007826199030635,12.645432657636889,43.6667,-79.4,TORONTO CITY,1.0022747710352176,300.4854431152344
603,1037,295.95,-2.300804570575231,11.625346633334846,43.9833,-80.75,MOUNT FOREST (AUT),0.9965820548779932,300.322021484375
605,1060,296.84999999999997,-2.2053809803339703,12.62287891217746,43.8622,-79.37,TORONTO BUTTONVILLE A,0.999381681073548,300.3914489746094
611,1051,296.84999999999997,-1.9090728517835933,12.250936972318437,44.2333,-79.7833,EGBERT CS,1.0004023871055943,300.0849609375
611,1078,295.65,-1.9198534980984727,13.446682564305245,43.95,-78.1667,COBOURG (AUT),0.9954186927684671,300.36822509765625
613,1095,296.45,-1.8540076319615553,14.186073428531435,43.8333,-77.15,POINT PETRE (AUT),1.0003685620544005,299.69073486328125
616,1043,296.34999999999997,-1.7154697341383163,11.8907013659687,44.5,-80.2167,COLLINGWOOD,1.0002483705560432,299.6256408691406
617,1074,296.75,-1.6786484471005159,13.239909508912735,44.2333,-78.3667,PETERBOROUGH A,1.000094163888087,300.0763244628906
617,1087,296.65,-1.647919910661428,13.848380542642577,44.1167,-77.5333,TRENTON A,1.0007172683463108,299.7884216308594
618,1028,295.65,-1.6065279350677362,11.219407227076683,44.7458,-81.1072,WIARTON A,0.9988787781844004,299.3277587890625
618,1054,295.84999999999997,-1.628527286900477,12.358775206404447,44.4833,-79.55,BARRIE-ORO,0.9987337887998909,299.57373046875
620,1059,297.78749999999997,-1.5131887286064079,12.576260729874983,44.5472,-79.2167,LAGOON CITY,1.0060119894801764,299.3540954589844
625,1047,297.04999999999995,-1.3201241231485403,12.058527800072659,44.85,-79.8667,BEAUSOLEIL,1.00643796325116,298.486328125
629,1055,295.75,-1.1104387018699675,12.420239820335663,44.9747,-79.3033,MUSKOKA AWOS,1.0023923257322511,298.37945556640625
631,1112,297.95,-1.049403624583132,14.937137653778311,44.4167,-75.85,GRENADIER ISLAND,1.0078255162358347,298.9784851074219
635,1042,296.25,-0.864689730664254,11.829329505586019,45.3442,-80.0442,PARRY SOUND CCG,1.0094706667774425,296.78814697265625
637,1077,295.75,-0.7819622248401432,13.376963697208172,45.0714,-77.8789,BANCROFT AUTO,1.0072355004603966,296.9447326660156
639,1000,295.25,-0.6883970505338951,9.992710779507949,45.8833,-82.5667,GORE BAY A,1.0019362889651093,298.0105895996094
644,1017,293.45,-0.46295019102332147,10.716661964189273,45.9667,-81.4833,KILLARNEY (AUT),0.99626838582978,297.87884521484375
644,1112,297.4,-0.4461626144289343,14.929598665935082,45.0,-75.6333,KEMPTVILLE CS,1.0044367728677597,299.43341064453125
645,1068,294.65,-0.39870248083069254,13.001626368921663,45.5333,-78.2667,ALGONQUIN PARK EAST GATE,1.0053076174864148,296.4076232910156
647,968,295.25,-0.3282026503152139,8.56463998274487,46.4833,-84.5094,SAULT STE MARIE A,1.001417081066638,298.16510009765625
651,1109,296.25,-0.14229068458931268,14.818651720335906,45.3225,-75.6692,OTTAWA MACDONALD-CARTIER INT'L A,1.0013448179030604,299.1965637207031
652,1108,296.95,-0.0926557441963778,14.770203286375427,45.3833,-75.7167,OTTAWA CDA RCS,1.0038916949558652,299.1426696777344
653,1132,297.34999999999997,-0.06746642402228695,15.808409118577105,45.1208,-74.2894,ST-ANICET 1,1.0057446672217674,298.9937438964844
657,1141,296.65,0.1010906457365428,16.207356591627608,45.1672,-73.6789,STE-CLOTILDE,1.0028388203772873,299.1542053222656
658,1081,295.95,0.16636607784747412,13.543748046258958,45.95,-77.3167,PETAWAWA A,1.006309694534335,297.4189147949219
