ilocy,ilocx,Q10_Gumbel-MM,rlat,rlon,lat,lon,station_name,ratio,model_vals
558,1009,0.275,-4.286303317504344,10.373533646905495,42.27611111,-82.95527778,WINDSOR A,0.7738990254675256,0.3000212013721466
576,1016,0.298,-3.48804380801358,10.70911725486623,42.99944444,-82.30888889,SARNIA,0.8195830655843176,0.306991845369339
579,1050,0.287,-3.3353689590638744,12.206823049227507,42.85,-80.26666667,SIMCOE,0.6869857671805623,0.35272619128227234
580,1035,0.27,-3.2904168437142984,11.534369212852347,43.03305556,-81.15111111,LONDON A,0.6223983523146281,0.3662679195404053
587,1054,0.34,-2.9672462089752716,12.374482460573976,43.17361111,-79.935,HAMILTON A,0.8080292913149125,0.35526740550994873
591,1056,0.19,-2.8224940050071763,12.44308227059991,43.3,-79.8,BURLINGTON PIERS (AUT),0.489154133348777,0.32795286178588867
591,1066,0.29,-2.8263537576593833,12.914368822069164,43.19166667,-79.17111111,ST CATHARINES A,0.7390916451490679,0.33128613233566284
592,1046,0.218,-2.755708330772456,11.997290400172446,43.46083333,-80.37861111,KITCHENER-WATERLOO,0.5266701617977285,0.34947919845581055
592,1065,0.32,-2.7770194854473744,12.868806527061649,43.25,-79.21666667,PORT WELLER (AUT),0.8126739291010452,0.3324583172798157
595,1023,0.207,-2.65276038889117,10.985517938364806,43.76666667,-81.71666667,GODERICH,0.5270614764098843,0.33159855008125305
599,1060,0.315,-2.4383661704221993,12.656933578522423,43.6275,-79.39611111,TORONTO CITY CENTRE,0.913407811751521,0.2911718487739563
600,1057,0.287,-2.4280374478097446,12.48046411804727,43.67666667,-79.63055556,TORONTO INTL A,0.8349210527588222,0.2902284860610962
603,1037,0.245,-2.3007719587955977,11.625339745869262,43.98333333,-80.75,MOUNT FOREST (AUT),0.6647356032232861,0.31118646264076233
605,1060,0.20600000000000002,-2.2064892992981635,12.624161363112355,43.86083333,-79.36861111,TORONTO BUTTONVILLE A,0.6309629560803681,0.2756556570529938
611,1078,0.26899999999999996,-1.9198477837726322,13.446705882854868,43.95,-78.16666667,COBOURG (AUT),0.8606073360598305,0.26390692591667175
613,1095,0.465,-1.8539753644643515,14.186065075654536,43.83333333,-77.15,POINT PETRE (AUT),2.145802082745316,0.1829645037651062
616,1043,0.21,-1.7154646708868815,11.890724603560995,44.5,-80.21666667,COLLINGWOOD,0.8509347461376113,0.20836587250232697
617,1074,0.19,-1.681286926386074,13.24303297256795,44.23,-78.36333333,PETERBOROUGH,0.6648937681779012,0.24127086997032166
617,1087,0.303,-1.6479580998039793,13.848365534890087,44.11666667,-77.53333333,TRENTON A,1.2057460550040215,0.21217310428619385
618,1028,0.255,-1.608330023712921,11.218755263733659,44.74416667,-81.10861111,WIARTON A,1.1543873035212053,0.1865057349205017
620,1059,0.265,-1.5131617290709791,12.576278873912775,44.54722222,-79.21666667,LAGOON CITY,1.4208971581828598,0.15746599435806274
623,1101,0.278,-1.376287929563316,14.47009238904273,44.22333333,-76.59944444,KINGSTON CLIMATE,1.5004794936407198,0.15642936527729034
629,1055,0.141,-1.1104223325675606,12.42021185602272,44.97472222,-79.30333333,MUSKOKA,1.1424625515090243,0.10420311242341995
637,1077,0.067,-0.7819711108327801,13.376973995423196,45.07138889,-77.87888889,BANCROFT AUTO,0.7600197521240933,0.0744309350848198
639,1000,0.27399999999999997,-0.690069370908283,9.992653603870442,45.88166667,-82.56722222,GORE BAY-MANITOULIN,1.636926662857206,0.1413269191980362
647,968,0.284,-0.3265597809046357,8.564149867880838,46.485,-84.50972222,SAULT STE MARIE A,2.042450899236503,0.11740058660507202
651,1109,0.221,-0.14743254423379257,14.821932295193472,45.31666667,-75.66666667,OTTAWA INTL A,1.4583649392765996,0.1279468536376953
653,1132,0.18,-0.06744339856063078,15.80836957099062,45.12083333,-74.28944444,ST-ANICET 1,1.0525128729437052,0.14439383149147034
657,1141,0.151,0.10111418445683244,16.207357598047103,45.16722222,-73.67888889,STE-CLOTHILDE,0.8794068853913827,0.14497417211532593
658,1081,0.155,0.16637183265387717,13.543770494311032,45.95,-77.31666667,PETAWAWA A,1.6372034304782679,0.07993419468402863
658,1154,0.102,0.146891087188546,16.805817882306044,45.03333333,-72.85,FRELIGHSBURG,0.8182952941280109,0.10524310916662216
660,1046,0.17800000000000002,0.2247776229261326,12.027567413504922,46.36388889,-79.42416667,NORTH BAY A,1.93668144760671,0.07760065048933029
661,1024,0.252,0.27781895532178186,11.047848727345684,46.62555556,-80.79777778,SUDBURY A,1.4408671984826817,0.147665873169899
661,1135,0.146,0.298783997656161,15.963386826741665,45.42722222,-73.92916667,STE-ANNE-DE-BELLEVUE 1,0.6660111748652302,0.18508656322956085
661,1145,0.20199999999999999,0.29036027254180596,16.391913068259413,45.29388889,-73.34944444,L'ACADIE,0.9700312879890207,0.17582036554813385
663,1138,0.28,0.37857540410213814,16.077265709536555,45.47055556,-73.74083333,MONTREAL INTL A,1.1922078565969758,0.1982940137386322
664,1140,0.045,0.4443774501594452,16.175677570505083,45.50474167,-73.57916667,MCTAVISH,0.18461219571705748,0.20580488443374634
