history_id,station_name,province,lon,lat,elev (m),annual_rain (mm)
12,CENTRAL SAANICH VEYANESS,BC,-123.417,48.5833,53,811
13,CENTRAL SAANICH ISL VIEW,BC,-123.392,48.5733,38,815
15,CHEMAINUS,BC,-123.742,48.935,75,1264
24,COWICHAN BAY CHERRY POINT,BC,-123.557,48.7111,1,945
26,COWICHAN LAKE FORESTRY,BC,-124.133,48.8244,177,2059
29,LAKE COWICHAN,BC,-124.052,48.8294,171,2094
35,DUNCAN FORESTRY,BC,-123.683,48.7667,6,1004
36,DUNCAN KELVIN CREEK,BC,-123.728,48.7347,103,1283
42,ESQUIMALT HARBOUR,BC,-123.439,48.432,3,820
45,GANGES MANSELL RD,BC,-123.498,48.8717,45,938
47,GALIANO NORTH,BC,-123.573,48.985,6,943
58,MAYNE ISLAND,BC,-123.32,48.8447,28,795
59,METCHOSIN,BC,-123.561,48.3742,164,987
60,METCHOSIN HAPPY VALLEY,BC,-123.533,48.4167,76,1090
68,NORTH COWICHAN,BC,-123.718,48.8242,46,1153
70,NORTH PENDER ISLAND,BC,-123.287,48.7639,98,834
74,PORT RENFREW,BC,-124.326,48.5917,10,3534
78,SAANICHTON CDA,BC,-123.419,48.6217,61,878
86,SAANICHTON MT NEWTON,BC,-123.427,48.5975,43,1026
91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,1160
98,SOOKE LAKE NORTH,BC,-123.64,48.5756,231,1404
109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,592
113,VICTORIA HIGHLAND,BC,-123.508,48.5092,191,1084
129,WILLIAM HEAD,BC,-123.539,48.3397,12,906
142,VICTORIA PHYLLIS STREET,BC,-123.267,48.455,8,686
149,ALERT BAY,BC,-126.933,50.5833,59,1539
150,BALLENAS ISLAND,BC,-124.16,49.3503,15,722
151,BLACK CREEK,BC,-125.133,49.8461,46,1514
153,BLIND CHANNEL,BC,-125.5,50.4167,3,2304
159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,1353
164,CAMPBELL RIVER SURFSIDE,BC,-125.207,49.945,9,1343
168,CAPE MUDGE,BC,-125.195,49.9985,5,1497
170,CHATHAM POINT,BC,-125.446,50.3332,23,2181
173,COAL HARBOUR RUPERT IN,BC,-127.5,50.6,57,1904
174,COMOX A,BC,-124.9,49.7167,26,1101
176,COOMBS,BC,-124.429,49.3058,98,1082
177,CORTES ISLAND,BC,-125.033,50.0833,6,1306
179,CORTES ISLAND TIBER BAY,BC,-124.949,50.0714,15,1236
180,COURTENAY GRANTHAM,BC,-124.999,49.7631,81,1391
181,COURTENAY PUNTLEDGE,BC,-125.033,49.6864,40,1402
188,DUNCAN BAY,BC,-125.283,50.0667,11,1566
194,GABRIOLA ISLAND,BC,-123.734,49.1539,46,883
195,HERIOT BAY SE,BC,-125.203,50.0994,17,1578
203,LITTLE QUALICUM HATCHERY,BC,-124.512,49.3528,30,1030
209,MUD BAY,BC,-124.794,49.4708,4,1594
214,NANAIMO A,BC,-123.87,49.0544,28,1059
219,NANAIMO CITY YARD,BC,-123.988,49.1991,114,1103
221,OYSTER RIVER UBC,BC,-125.133,49.8833,11,1329
225,NANAIMO DEPARTURE BAY,BC,-123.95,49.2167,8,906
226,PINE ISLAND,BC,-127.728,50.9758,28,2161
228,PORT HARDY A,BC,-127.366,50.6803,22,1840
236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,1257
237,QUINSAM RIVER HATCHERY,BC,-125.304,50.0161,46,1541
258,ALBERNI ROBERTSON CREEK,BC,-124.982,49.3372,74,2018
264,BAMFIELD EAST,BC,-125.117,48.8333,4,2884
267,BULL HARBOUR,BC,-127.95,50.9167,14,2119
268,CAPE BEALE LIGHT,BC,-125.216,48.7861,26,2730
270,CAPE SCOTT,BC,-128.427,50.7822,72,2655
272,CARMANAH POINT,BC,-124.751,48.6117,38,2788
277,ESTEVAN POINT,BC,-126.543,49.3833,6,3125
280,GOLD RIVER TOWNSITE,BC,-126.055,49.7789,119,2656
294,LENNARD ISLAND,BC,-125.923,49.1106,11,3089
298,NITINAT RIVER HATCHERY,BC,-124.655,48.8594,15,3683
299,NOOTKA LIGHTSTATION,BC,-126.617,49.6,16,3197
300,PACHENA POINT,BC,-125.097,48.7228,37,2969
302,PORT ALBERNI A,BC,-124.833,49.25,2,1780
307,PORT ALICE,BC,-127.455,50.3858,21,3319
309,QUATSINO,BC,-127.653,50.5336,3,2481
310,QUATSINO LIGHTSTATION,BC,-128.033,50.4411,21,2495
319,TOFINO A,BC,-125.773,49.0822,24,3220
326,UCLUELET KENNEDY CAMP,BC,-125.527,48.9453,40,3364
338,BOWEN ISLAND BOWEN BAY,BC,-123.42,49.3648,37,1564
348,CLOWHOM FALLS,BC,-123.533,49.7167,23,2193
351,GAMBIER HARBOUR,BC,-123.433,49.4431,53,1833
353,GIBSONS,BC,-123.514,49.3969,62,1372
354,GIBSONS GOWER POINT,BC,-123.541,49.3856,34,1302
363,LOIS RIVER DAM,BC,-124.318,49.7953,157,1529
365,MALIBU JERVIS INLET,BC,-123.854,50.165,18,2333
366,MERRY ISLAND LIGHTSTATION,BC,-123.913,49.4675,7,985
372,PORT MELLON,BC,-123.483,49.5167,8,3213
375,POWELL RIVER,BC,-124.554,49.8761,52,1063
376,POWELL RIVER A,BC,-124.5,49.8342,130,1171
396,STILLWATER POWER HOUSE,BC,-124.317,49.7667,7,1384
402,WHISTLER,BC,-122.955,50.1289,658,876
404,WOODFIBRE,BC,-123.889,49.5811,4,2766
409,CAPE ST JAMES,BC,-131.017,51.9333,92,1487
417,LANGARA,BC,-133.058,54.2552,43,1789
432,SANDSPIT A,BC,-131.813,53.2539,6,1309
439,TLELL,BC,-131.95,53.5,5,1187
440,SEWALL MASSET INLET,BC,-132.299,53.7637,3,1425
441,ADDENBROKE ISLAND,BC,-127.864,51.6035,21,3208
449,BELLA COOLA,BC,-126.685,52.3706,18,1494
450,BELLA COOLA A,BC,-126.596,52.3875,36,1105
455,BOAT BLUFF,BC,-128.524,52.6431,11,4916
456,BONILLA ISLAND,BC,-130.638,53.4928,16,2080
462,DRYAD POINT,BC,-128.112,52.185,4,2564
464,EGG ISLAND,BC,-127.835,51.2472,14,2509
465,ETHELDA BAY,BC,-129.683,53.05,10,3156
466,FALLS RIVER,BC,-129.733,53.9833,18,3373
469,GREEN ISLAND,BC,-130.708,54.5686,12,2271
474,IVORY ISLAND,BC,-128.407,52.2697,10,2689
475,KEMANO,BC,-127.943,53.5631,66,1694
476,KILDALA,BC,-128.483,53.8333,31,1850
481,KITIMAT TOWNSITE,BC,-128.634,54.0536,98,1819
482,KITIMAT 2,BC,-128.705,54.0097,17,2394
489,MCINNES ISLAND,BC,-128.719,52.2617,26,2646
494,OCEAN FALLS,BC,-127.683,52.35,5,4158
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,2465
504,PRINCE RUPERT MONT CIRC,BC,-130.29,54.3203,60,3076
505,PRINCE RUPERT R PARK,BC,-130.333,54.3,91,2894
506,PRINCE RUPERT SHAWATLANS,BC,-130.25,54.3333,11,2844
517,STEWART A,BC,-129.985,55.9361,7,1334
520,STUIE TWEEDSMUIR LODGE,BC,-126.067,52.3681,162,652
522,TERRACE A,BC,-128.577,54.4664,217,985
523,TERRACE PCC,BC,-128.625,54.5019,67,959
541,BABINE LAKE PINKUT CREEK,BC,-125.46,54.4464,713,299
546,EQUITY SILVER,BC,-126.277,54.1986,1280,353
554,HOUSTON,BC,-126.668,54.3964,610,292
568,NASS CAMP,BC,-129.03,55.2375,195,779
571,QUICK,BC,-126.9,54.6167,533,307
575,SMITHERS A,BC,-127.183,54.8247,522,351
584,TOPLEY LANDING,BC,-126.163,54.8158,722,314
587,SUSKWA VALLEY,BC,-127.171,55.2886,534,557
595,BIG CREEK,BC,-123.073,51.6672,1175,215
611,KLEENA KLEENE 2,BC,-124.99,51.9778,914,206
613,LUNCH LAKE,BC,-124.467,51.8244,1017,235
626,OOTSA L SKINS L SPILLWAY,BC,-125.997,53.7722,861,264
635,PUNTCHESAKUT LAKE,BC,-122.955,52.9917,915,339
642,TAHTSA LAKE WEST,BC,-127.7,53.6167,863,1027
647,TATLAYOKO LAKE,BC,-124.405,51.6747,870,306
651,WISTARIA,BC,-126.214,53.825,863,259
655,BARKERVILLE,BC,-121.515,53.0692,1283,537
679,FORT ST JAMES,BC,-124.286,54.4553,691,291
684,HIXON,BC,-122.699,53.5314,551,446
688,HORSEFLY LAKE GRUHS LAKE,BC,-121.364,52.3625,777,402
693,KERSLEY,BC,-122.367,52.8167,671,339
708,MCLEESE LAKE FRASERVIEW,BC,-122.374,52.3797,564,312
709,MCLEESE LAKE GRANITE MT,BC,-122.286,52.5306,1133,363
715,OCHILTREE MIOCENE,BC,-121.724,52.2603,1027,329
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,423
731,PRINCE GEORGE STP,BC,-122.767,53.88,579,420
737,QUESNEL A,BC,-122.51,53.0261,545,387
747,SPOKIN LAKE 4E,BC,-121.686,52.1836,1033,384
752,TWAN CREEK,BC,-122.617,52.4664,914,305
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,287
767,VANDERHOOF,BC,-124.017,54.0333,638,340
772,FRASER LAKE NORTH SHORE,BC,-124.847,54.0783,674,332
774,108 MILE HOUSE ABEL LAKE,BC,-121.263,51.6233,1005,280
782,ABBOTSFORD A,BC,-122.36,49.0253,59,1486
789,AGASSIZ CDA,BC,-121.76,49.2431,15,1669
808,BURNABY CAPITOL HILL,BC,-122.987,49.2861,183,1867
814,BURNABY MTN TERMINAL,BC,-122.933,49.2667,137,1837
815,BURNABY SIMON FRASER U,BC,-122.918,49.2784,366,1846
